cytoband	13q14.2	1p36.31	9p21.3	4q35.1	8p23.2	6q27	19p13.3	17p13.1	10q23.31	16q23.1	2q22.1	12q24.33	14q23.3	3p13	1p36.11	14q32.33	12p12.1	10q26.13	4q21.3	11q23.3	17p11.2	2q37.3	11q14.1	18q21.2	8p12	20p12.1	15q26.3	4q24	22q13.32	Xq26.2	9q31.3	4p16.3	22q12.1	7q36.3	
		ANKRD65					MBD3	SOX15				MIR3908			HTR1D	DLK1		SEC23IP	USO1	NNMT				KCNG2			HDDC3	ALPK1			MSANTD3	SPON2		RN7SKP187	
		MIR429					MIER2	VAMP2				MIR4419B			HTR6	MTA1		RAB11FIP2	SLC4A4	NPAT				CDH20			SPATA41	CXXC4			RN7SL75P	TACC3		RNA5SP237	
		TMEM88B					PCSK4	TP53				MIR5188			ID3	BAG5		INPP5F	HERC3	NRGN				CDH19			GDPGP1	PLA2G12A			STX17	SLC34A2		snoU13|ENSG00000238922.1	
		C1orf233					PLEKHJ1	UBE2G1							STMN1	C14orf2		SORCS3	TMPRSS11D	OPCML				TIMM21			OR4F6	C4orf17			RN7SKP225	MXD4		FLJ00325	
		CDK11A					FEM1A	TRPV1							LCK	CDC42BPB		FAM175B	ABCG2	PAFAH1B2				ST8SIA5			OR4F15	COL25A1			ALG2	CPLX1		U3|ENSG00000238297.1	
		SLC35E2B					STAP2	YWHAE							MATN1	TCL1B		ATRNL1	ADAMTS3	POU2AF1				RAX			FAM174B	PIGY			RN7SL794P	SLC26A1		snoU109|ENSG00000238832.1	
		OR4F29					BTBD2	ZNF232							MFAP2	TECPR2		C10orf137	G3BP2	PPP2R1B				CXXC1			TTLL13	TRMT10A			RNA5SP290	PPARGC1A		RNA5SP236	
		MIR4252					RNF126	OR1A1							NBL1	SIVA1		PDCD4	HNRNPDL	PTS				ST8SIA3			MIR1179	TBCK			CTSV	SEL1L3		SNORD112|ENSG00000251911.1	
		MIR4689					CCDC94	OR1D5							OPRD1	CYP46A1		VENTX	ENAM	PVRL1				IER3IP1			MIR3174	CYP2U1			AAED1	MAN2B2		RN7SL8P	
		MIR4417					C19orf10	OR1E2							PAFAH2	PAPOLA		CUZD1	FAM13A	RDX				TCEB3B				DDIT4L			LINC00092	FBXL5		LHFPL3	
							NCLN	OR1G1							PAX7	RCOR1		CALY	CXCL13	SCN2B				MEX3C				SLC9B2			RNA5SP289	NSG1		RN7SKP86	
							SHD	OR3A3							PLA2G2A	PACS2		CHST15	UGT2B11	SCN4B				TMX3				SLC9B1			DKFZP434H0512	ZCCHC4		RN7SKP198	
							WDR18	SLC25A11							PPP1R8	PPP1R13B		ACSL5	HPSE	SDHD				DYM				PPM1K			LINC00476	ANAPC4		FAM185A	
							REXO1	GAS7							PTAFR	DICER1		ZRANB1	SMR3B	ST3GAL4				ZCCHC2				TIGD2			snoU13|ENSG00000238746.1	LAP3		POLR2J2	
							ZNF77	SCARF1							RAP1GAP	KIF26A		TTC40	NPFFR2	SLN				ZNF532				SGMS2			RNA5SP288	SEPSECS		MIR4467	
							CACTIN	TNK1							RBBP4	TCL6		NSMCE4A	UGT2A1	SORL1				ELAC1				NPNT			MIR27B	STX18		MIR5090	
							CELF5	MYH13							RHCE	GPR132		C10orf118	CCNI	SRPR				ZNF407				NAP1L5			MIR23B	FGFRL1		MIR4285	
							FSD1	TNFSF13							RHD	EVL		WDR11	SEC31A	ST14				CNDP2				STPG2			MIR2278	CYTL1		SH2B2	
							TLE6	TM4SF5							RPA2	GSKIP		DHX32	RUFY3	TAGLN				KIAA1468				LRIT3			PCAT7	SH3TC1		SNORA48|ENSG00000252824.1	
							LPPR3	USP6							RPL11	CINP		TDRD1	MMRN1	TECTA				EPG5				HSD17B13			ZNF169	PIGG		RABL5	
							ZNF556	RABEP1							RPS6KA1	CDCA4		BCCIP	WDFY3	UPK2				CCDC102B				CCSER1			snoU13|ENSG00000238792.1	DCAF16		MIR4653	
							UBXN6	KCNAB3							SDHB	ATG2B		GPAM	PARM1	ZBTB16				PQLC1				MIR302A			MIRLET7DHG	LGI2		RN7SKP54	
							ABHD17A	AURKB							SRSF4	ZNF839		KIAA1598	RCHY1	ZNF202				CCDC68				MIR302B			CENPP	TBC1D19		MUC3A	
							DOHH	NTN1							SLC9A1	BEGAIN		FAM160B1	ANKRD17	CUL5				NETO1				MIR302C			SNORA84	PI4K2B		MUC3A	
							KLF16	RPH3AL							TAF12	INF2		PLEKHA1	STAP1	BARX2				KATNAL2				MIR302D			snoU13|ENSG00000238996.1	BLOC1S4		RN7SL549P	
							DOT1L	FXR2							TCEA3	BCL11B		FAM204A	SMR3A	USP2				MRO				MIR367			LINC00475	STK32B		RN7SL750P	
							KISS1R	MPDU1							TCEB3	ZFYVE21		LHPP	NAAA	HTR3B				HDHD2				MIR297			LINC00484	LYAR		SAP25	
							CREB3L3	SPAG7							SLC30A2	WDR25		IKZF5	COQ2	ZW10				PARD6G				MIR5705			ABCA1	SLC2A9		RN7SL416P	
							LMNB2	ACAP1							LUZP1	LINC00341		ZDHHC6	HPGDS	UBE4A				CNDP1				PYURF			ABCA2	TBC1D14		RN7SL161P	
							RAX2	KIAA0753							LAPTM5	CLMN		MCMBP	TMPRSS11E	EI24				SERPINB12							ABL1	SORCS2		STAG3L5P	
							MUM1	SGSM2							PTP4A2	TMEM121		PLEKHS1	COPS4	FEZ1				SERPINB11							AK1	CC2D2A		PILRB	
							MPND	CLEC10A							ARID1A	AMN		C10orf88	HSD17B11	ARHGAP32				SEC11C							ALAD	STIM2		GATS	
							ATCAY	MYBBP1A							SNHG3	SETD3		WDR96	HERC5	RBM7				DSEL							ALDOB	UVSSA		MIR4658	
							MIDN	PRPF8							NR0B2	HHIPL1		LRRC27	PLAC8	MPZL2				HAUS1							AMBP	ZFYVE28		MIR106B	
							DPP9	KIF1C							FCN3	BTBD6		GPR123	NUDT9	HYOU1				ALPK2							ASS1	GBA3		MIR93	
							R3HDM4	NLRP1							YARS	EXOC3L4		AFAP1L2	NUP54	ATP5L				LOXHD1							AUH	AFAP1		MIR25	
							TMEM259	ARHGEF15							ALDH4A1	WDR20		KNDC1	UGT2B28	ADAMTS8				FAM69C							BAAT	NCAPG		AOC1	
							TPGS1	RAP1GAP2							EIF3I	AHNAK2		MTG1	ODAM	TREH				STARD6							C5	TNIP2		ACHE	
							REEP6	CAMTA2							EIF4G3	TRMT61A		BBIP1	HERC6	CEP164				C18orf25							C8G	HAUS3		AKR1B1	
							IZUMO4	KDM6B							MAP3K6	TDRD9		FANK1	SDAD1	IGSF9B				CCBE1							CACNA1B	KCNIP4		ARF5	
							SCAMP4	ZZEF1							SNRNP40	ANKRD9		SYCE1	BMP2K	EXPH5				CBLN2							CCBL1	FGFBP2		OPN1SW	
							ADAT3	CLUH							THEMIS2	AK7		SORCS1	SEPT11	PHLDB1				C18orf54							ENTPD2	MFSD7		BPGM	
							GRIN3B	SMG6							CROCC	PLD4		PRAP1	SMARCAD1	NCAPD3				TCEB3C							CDK9	TMEM175		BRAF	
							MRPL54	WSCD1							PUM1	ADSSL1		ZNF511	MEPE	ARHGEF12				FBXO15							CEL	ABLIM2		CALD1	
							TMIGD2	CTDNEP1							ZBTB40	SLC25A29		C10orf90	PRDM8	SIK3				ZBTB7C							COL5A1	TMEM128		CASP2	
							TNFAIP8L1	PIK3R5							PTPRU	GSC		BTBD16	UTP3	VSIG2				SKA1							COL15A1	ZNF518B		CAV1	
							ZNF57	ELP5							CELA3A	SYNE3		FAM24A	KLHL8	BACE1				CCDC11							SLC31A1	CCDC149		CAV2	
							JSRP1	SHPK							WASF2	NUDT14		PSTK	SHROOM3	TRIM29				GTSCR1							SLC31A2	TMEM129		CFTR	
							MOB3A	AIPL1							HNRNPR	C14orf177		MMP21	ENOPH1	CADM1				DOK6							CRAT	MRFAP1		CHRM2	
							MFSD12	RNF167							SRRM1	SLC25A47		GSTO2	PROL1	POU2F3				LINC00305							CYLC2	TADA2B		AP1S1	
							GIPC3	SENP3							CNKSR1	LINC00523		SFR1	MRPL1	REXO2				DYNAP							DBC1	HTRA3		CLCN1	
							MISP	OR1A2							KHDRBS1	CEP170B		CLRN3	THAP9	OR8B8				BOD1L2							DBH	C1QTNF7		CPA1	
							PLK5	PELP1							GMEB1	C14orf80		PNLIPRP3	UGT2A3	TIMM8B				SIGLEC15							SARDH	MRFAP1L1		CPA2	
							C2CD4C	RANGRF							NUDC	CCDC85C		SFXN4	SCD5	OR8B2				LINC00908							DNM1	CPEB2		CUX1	
							TICAM1	TAX1BP3							SRSF10	ASPG		CPXM2	FRAS1	ACAD8				HMSD							ECM2	EVC2		DLD	
							C19orf25	MINK1							RCAN3	C14orf64		TRUB1	ARHGAP24	B3GAT1				CPLX4							TOR1A	PACRGL		DPP6	
							ATP8B3	GEMIN4							PADI2	RTL1		VTI1A	FAM175A	DCPS				ATP9B							LPAR1	OTOP1		SLC26A3	
							DIRAS1	MED31							LYPLA2	TMEM179		C10orf82	AGPAT9	ZBTB44				LINC00909							MEGF9	JAKMIP1		EN2	
							ZNF555	GLOD4							DNAJC8	C14orf180		CACUL1	PIGY	THYN1				MIR122							ENDOG	FAM53A		EPHA1	
							ANKRD24	YBX2							KDM1A	MIR127		CCDC147	CABS1	DDX25				HSBP1L1							ENG	TRMT44		EPHB4	
							C19orf26	ANKFY1							WDTC1	MIR136		PWWP2B	YTHDC1	NTM				C18orf63							STOM	GPR125		EPHB6	
							C19orf77	INPP5K							EMC1	MIR154		PPAPDC1A	MOB1B	CDON				SKOR2							FANCC	ZBTB49		EPO	
							ODF3L2	FAM64A							OTUD3	MIR203		PAOX	HELQ	SIDT2				TCEB3CL							FBP1	TAPT1		EZH2	
							ADAMTSL5	XAF1							UBR4	MIR323A		FAM24B	PCAT4	TRAPPC4				MIR1539							FKTN	LCORL		FLNC	
							TMPRSS9	C17orf59							ATP13A2	MIR337		EBF3	ANTXR2	SPA17				MIR4319							FCN1	CCDC96		GBX1	
							C19orf35	SLC52A1							CELA3B	MIR345		CASC2	LIN54	FXYD6				TCEB3CL2							FCN2	BOD1L1		GNB2	
							MEX3D	WRAP53							PADI4	MIR370		TCERG1L	TMPRSS11B	SIAE				MIR4527							FOXE1	CRIPAK		GPR22	
							PRSS57	RNMTL1							TMEM50A	MIR381		HSPA12A	C4orf36	C11orf71				MIR4529							FPGS	DOK7		GRM8	
							PLIN5	VPS53							KPNA6	MIR431		FUOM	PAQR3	ROBO4				MIR5011							NR5A1	RNF212		MNX1	
							ARRDC5	TSR1							STX12	MIR323B		JAKMIP3	THAP6	SLC35F2											FUT7	NAT8L		AGFG2	
							PLIN4	DHX33							CLIC4	MIR409		STK32C	C4orf26	RAB39A											NR6A1	POLN		IMPDH1	
							C19orf71	PLSCR3							LDLRAP1	MIR412		RBM20	PPM1K	BTG4											GLE1	SMIM20		INSIG1	
							MIR3187	NLGN2							AHDC1	MIR410		KCNK18	RASGEF1B	NXPE4											GNG10	C4orf48		IRF5	
							MIR4746	ZBTB4							SMPDL3B	MIR493		NANOS1	TIGD2	TTC12											GOLGA1	DEFB131		KCND2	
								CXCL16							PADI1	MIR432		HMX3	RASSF6	C11orf57											GOLGA2	CLRN2		KCNH2	
								TRAPPC1							HP1BP3	MIR494		CCDC172	CNOT6L	ELMOD1											RAPGEF1	MIR572		KEL	
								ALOXE3							MECR	MIR495		ARMS2	C4orf22	FOXRED1											GRIN1	MIR573		LAMB1	
								SRR							MRTO4	MIR496		TEX36	EPGN	SCN3B											GSN	USP17L24		LEP	
								NXN							YTHDF2	MIR487A		C10orf120	FDCSP	VPS11											HSD17B3	USP17L25		LRCH4	
								MIS12							ZCCHC17	RD3L		FOXI2	NAP1L5	TEX12											HSPA5	USP17L26		MCM7	
								METTL16							PADI3	TEX22		C10orf85	COX18	CRTAM											TNC	USP17L5		DNAJB9	
								PHF23							WNT4	MIR539		FRG2B	CCDC158	IFT46											IARS	USP17L27		MEST	
								FAM57A							RNF186	MIR544A		SPRN	TMPRSS11A	PRDM10											LCN1	USP17L28		MET	
								NDEL1							MED18	MIR487B		MIR202	SOWAHB	DSCAML1											LCN2	USP17L29		MKLN1	
								ACKR6							PQLC2	MIR411		FAM196A	SLC10A6	GRAMD1B											LMX1B	USP17L30		NDUFA5	
								EMC6							TRNAU1AP	MIR654		MIR2110	HSD17B13	ARHGAP20											MUSK	PSAPL1		NDUFB2	
								RILP							BSDC1	MIR655		MIR378C	TMPRSS11F	USP28											NCBP1	USP17L10		NOS3	
								GSG2							XKR8	MIR656		MIR3663	C4orf40	CARD18											NDUFA8	USP17L11		CNOT4	
								ZMYND15							TMEM39B	MIR758		MIR4680	AMTN	AASDHPPT											NFIL3	USP17L12		NRCAM	
								CAMKK1							ARHGEF10L	MIR770		MIR4682	CCSER1	PKNOX2											NINJ1	USP17L13		NRF1	
								RPAIN							TMEM57	MIR300		MIR4484	MTHFD2L	TP53AIP1											NOTCH1	USP17L17		ORC5	
								LSMD1							CAMK2N1	MIR541		LINC00601	TMEM150C	ABCG4											ROR2	USP17L18		SERPINE1	
								NEURL4							ASAP3	MIR665			AREGB	ROBO3											ODF2	USP17L19		PAX4	
								ZNF594							PNRC2	MIR543			FAM47E	C11orf1											OMD	USP17L20		PCOLCE	
								HES7							PIGV	MIR889			MIR1269A	RNF26											OGN	USP17L21		SLC26A4	
								SPATA22							NBPF1	DIO3OS			MIR4452	FAM118B											ORM1	USP17L22		PIK3CG	
								TXNDC17							IQCC	MIR1197			FAM47E	DYNC2H1											ORM2	MIR548I2		PIP	
								TMEM88							RCC2	MIR1193			MIR5705	NLRX1											PAEP	MIR378D1		PODXL	
								SAT2							TMEM234	MIR4309			PYURF	MSANTD2											PAPPA	MIR4800		POLR2J	
								SMYD4							MTFR1L	MIR3173				CLMP											PDCL	MIR5091		PPP1R3A	
								CNTROB							C1orf63	MIR151B				PDZD3											PBX3			PRKAR2B	
								CYB5D1							PITHD1	MIR4710				C11orf63											PHF2			PRSS1	
								OVCA2							NIPAL3	MIR2392				CCDC15											PPP2R4			RELN	
								USP43							SEPN1					PDGFD											PPP3R2			PSMC2	
								KRBA2							KIF17					TMPRSS5											PPP6C			TAS2R38	
								SLC43A2							KIAA1522					PUS3											PSMB7			PTN	
								CYB5D2							GRHL3					MFRP											PSMD5			PTPRN2	
								C17orf49							IL22RA1					JAM3											PTCH1			PTPRZ1	
								ZFP3							GPATCH3					BCO2											PTGDS			RARRES2	
								GGT6							TINAGL1					TMPRSS13											PTGS1			RHEB	
								WDR81							PLA2G2F					DCUN1D5											PTPN3			SLC4A2	
								DNAH2							CEP85					MSANTD4											RAD23B			SLC13A1	
								RTN4RL1							PINK1					KIRREL3											RALGDS			SMARCD3	
								WDR16							MARCKSL1					BUD13											RGS3			SMO	
								CCDC42							PHACTR4					TMEM25											RPL7A			SPAM1	
								PIK3R6							AUNIP					RPUSD4											RPL12			AKR1D1	
								ODF4							CCDC28B					UBASH3B											SET			SRPK2	
								KCTD11							NKAIN1					DIXDC1											SNAPC4			SSBP1	
								MFSD6L							MUL1					ZC3H12C											SPTAN1			SYPL1	
								TRPV3							LIN28A					GLB1L2											STXBP1			TAF6	
								SLC16A11							FAM110D					ESAM											SURF1			TBXAS1	
								FBXO39							DHDDS					ALKBH8											SURF2			TFR2	
								DHRS7C							ZNF436					FDXACB1											SURF4			TRIP6	
								SLC16A13							TAS1R2					C11orf52											MED22			UBE2H	
								C17orf74							SYNC					VPS26B											SURF6			VGF	
								SPNS3							ACTL8					GLB1L3											SYK			VIPR2	
								TMEM256							TSSK3					TIRAP											TAL2			ZAN	
								BCL6B							SESN2					CARD16											TGFBR1			WNT2	
								VMO1							TMEM222					C1QTNF5											TLR4			XRCC2	
								LINC00324							USP48					PANX3											TMOD1			ZNF3	
								SLC13A5							NBPF3					APOA5											TRAF1			ZKSCAN1	
								TMEM102							TRIM63					TMEM45B											TRAF2			ZSCAN21	
								TUSC5							FAM167B					C11orf93											TSC1			ZYX	
								TMEM95							SYTL1					PIH1D2											TTF1			ST7	
								SMTNL2							IGSF21					NXPE1											TXN			ARHGEF5	
								FAM101B							STPG1					NXPE2											VAV2			ZNF212	
								SPEM1							SPOCD1					AMICA1											CORO2A			ZNF282	
								GLTPD2							UBXN11					KBTBD3											XPA			CUL1	
								INCA1							ATPIF1					CWF19L2											ZFP37			TRIM24	
								SCIMP							FAM46B					KDELC2											ZNF79			MGAM	
								SPDYE4							C1orf172					LAYN											ZNF189			WASL	
								OR3A4P							IFFO2					PATE1											NR4A3			PLOD3	
								SLC25A35							MYOM3					C11orf65											BRD3			DGKI	
								C17orf97							KLHDC7A					ADAMTS15											NUP214			AP4M1	
								MED11							VWA5B1					C11orf45											LHX3			ATP6V1F	
								MIR132							C1orf213					HYLS1											GFI1B			ASIC3	
								MIR212							DCDC2B					TMEM218											IKBKAP			PMPCB	
								MIR22HG							PDIK1L					OR8B12											CDC14B			PDIA4	
								TNFSF12							IFNLR1					OR10G8											TMEFF1			UBE3C	
								RNASEK							FAM43B					OR10G9											SSNA1			FAM131B	
								MIR324							PAQR7					OR10S1											EDF1			DOCK4	
								MIR497HG							FAM76A					OR6T1											CTNNAL1			FAM115A	
								RNF222							TXLNA					OR4D5											FBP2			DNAJB6	
								C17orf107							AKR7L					TMEM136											DPM2			ABCF2	
								MIR4314							TMCO4					SPATA19											FUBP3			MUC12	
								MIR4520B							ZNF683					HEPACAM											PRPF4			NAMPT	
															MDS2					ANKK1											KLF4			RASA4	
															SERINC2					RNF214											GTF3C5			LRRC17	
															CATSPER4					FOXR1											LHX2			POP7	
															TRNP1					CCDC153											MED27			FAM3C	
															CD164L2					OR8D1											PTGES			COG5	
															TMEM200B					OR8D2											GABBR2			ZNHIT1	
															SH2D5					OR8B4											RALGPS1			STAG3	
															NCMAP					C11orf44											ADAMTSL2			FASTK	
															LDLRAD2					CCDC84											TRIM14			COPS6	
															MINOS1					TMEM225											PPP1R26			DUS4L	
															PEF1					OR8D4											SEC16A			ZNF277	
															LACTBL1					C11orf53											TNFSF15			ABCB8	
															ZBTB8A					BSX											PTBP3			TFEC	
															C1orf234					OR6X1											SH2D3C			LAMB4	
															FAM229A					OR6M1											RABEPK			PAXIP1	
															MIR4253					OR10G4											LAMC3			KLHDC10	
															MIR3917					OR10G7											TUBB4B			NUP205	
															MIR3675					OR8B3											UBAC1			AHCYL2	
															MIR4419A					OR8A1											OLFM1			TNPO3	
															MIR4425					C11orf87											ZER1			HYAL4	
															MIR4418					C11orf92											ANP32B			TSPAN12	
															MIR378F					C11orf88											AGPAT2			CLEC5A	
																				PATE2											SPTLC1			MKRN1	
																				PATE4											POMT1			CLDN15	
																				SNX19											SMC2			POT1	
																				MIRLET7A2											ZBTB6			CNTNAP2	
																				MIR100											NEK6			TES	
																				MIR125B1											SDCCAG3			GIMAP2	
																				MIR34B											NOXA1			OR2F1	
																				MIR34C											USP20			FBXO24	
																				DDI1											ACTL7A			SLC13A4	
																				BLID											SEC61B			HBP1	
																				CARD17											SLC27A4			DNAJC2	
																				HEPN1											SLC35D2			TPK1	
																				CLDN25											CNTRL			SND1	
																				PATE3											WDR5			DENND2A	
																				MIR4301											C9orf9			ZNF777	
																				CASP12											ADAMTS13			TMEM176B	
																				MIR4697											CACFD1			HIPK2	
																				MIR4493											SLC2A6			WDR91	
																				MIR4491											AKAP2			REPIN1	
																				MIR4492											RPL35			HILPDA	
																				MIR4693											MAN1B1			MDFIC	
																															DOLK			PILRA	
																															ZNF510			FSCN3	
																															HABP4			ATP6V0A4	
																															PTGR1			PNPLA8	
																															TRIM32			TAS2R3	
																															FNBP1			TAS2R4	
																															SETX			TAS2R16	
																															ERP44			FIS1	
																															ZBTB43			CPA4	
																															FAM120A			WNT16	
																															PMPCA			ACTL6B	
																															ASTN2			PRKAG2	
																															BICD2			ZC3HC1	
																															KIAA0368			SRRT	
																															EXOSC2			MRPS33	
																															NCS1			NUB1	
																															TDRD7			GPR85	
																															SLC44A1			TAS2R5	
																															ANGPTL2			CHPF2	
																															NUP188			PUS7	
																															RABGAP1			ING3	
																															TMEM245			LRRN3	
																															CIZ1			ALKBH4	
																															DFNB31			NCAPG2	
																															NELFB			CHCHD3	
																															NIPSNAP3A			ZCWPW1	
																															NSMF			WDR60	
																															GPSM1			RBM28	
																															GAPVD1			C7orf43	
																															PHF19			TMEM140	
																															FBXW2			GIMAP4	
																															OR1J4			GIMAP5	
																															OR2K2			TMEM176A	
																															GBGT1			TRPV6	
																															LHX6			METTL2B	
																															OR1L3			KMT2E	
																															OR1L1			BCAP29	
																															OR1J2			MEPCE	
																															TRUB2			TRPV5	
																															ST6GALNAC4			ANKRD7	
																															INVS			ZC3HAV1	
																															NDOR1			SLC12A9	
																															TOR1B			AKR1B10	
																															TOR2A			ACTR3B	
																															NTMT1			KIAA1147	
																															PHPT1			STRIP2	
																															ANAPC2			ESYT2	
																															PKN3			ZNF398	
																															DPP7			KIAA1549	
																															SLC2A8			KMT2C	
																															OBP2B			EXOC4	
																															OBP2A			RINT1	
																															ST6GALNAC6			GALNT11	
																															DEC1			LRRC4	
																															MRPS2			LMBR1	
																															COQ4			NOM1	
																															CERCAM			MOSPD3	
																															EGFL7			GIGYF1	
																															PRRX2			CCDC136	
																															C9orf114			PARP12	
																															C9orf156			CREB3L2	
																															RAB14			LRRC61	
																															C9orf78			C7orf49	
																															POLE3			PVRIG	
																															NANS			GCC1	
																															FBXW5			GAL3ST4	
																															MRPL50			PRKRIP1	
																															RC3H2			CBLL1	
																															EPB41L4B			ZNF767	
																															TBC1D13			CPED1	
																															NUTM2F			TTC26	
																															ASPN			ORAI2	
																															BSPRY			JHDM1D	
																															TOR4A			TSC22D4	
																															TEX10			TRIM56	
																															EXD3			TMUB1	
																															FAM206A			ARMC10	
																															NOL8			IMMP2L	
																															TMEM38B			CTTNBP2	
																															NIPSNAP3B			SLC37A3	
																															STRBP			KRBA1	
																															TBC1D2			FAM71F1	
																															HEMGN			SLC35B4	
																															RABL6			TMEM209	
																															CDK5RAP2			ADCK2	
																															BARX1			PLXNA4	
																															RNF20			ZC3HAV1L	
																															LRRC8A			MYL10	
																															INPP5E			CADPS2	
																															NPDC1			CPA5	
																															BARHL1			FOXP2	
																															SH3GLB2			CEP41	
																															REXO4			ZBED6CL	
																															DOLPP1			TSGA13	
																															KCNT1			AGAP3	
																															ZBTB26			C7orf13	
																															DENND1A			OR9A4	
																															GPR107			OR9A2	
																															SLC46A2			C7orf34	
																															ZNF462			TMEM139	
																															PRDM12			NOBOX	
																															SUSD1			OR2A14	
																															IPPK			OR6B1	
																															DDX31			OR2F2	
																															FAM129B			ZNF786	
																															WNK2			COL26A1	
																															C9orf16			PRSS37	
																															MAPKAP1			KLF14	
																															GALNT12			SSMEM1	
																															EHMT1			SVOPL	
																															SVEP1			MTPN	
																															PTGES2			LRGUK	
																															AKNA			ASB10	
																															ARPC5L			PRSS58	
																															HDHD3			ASZ1	
																															AIF1L			MUC17	
																															UCK1			RNF32	
																															ZNF484			ASB15	
																															FSD1L			C7orf60	
																															GARNL3			CLEC2L	
																															HSDL2			C7orf55	
																															C9orf89			IQUB	
																															HIATL2			C7orf66	
																															NTNG2			TMEM213	
																															HIATL1			GIMAP8	
																															PPAPDC3			CRYGN	
																															ZDHHC12			ZNF425	
																															FAM73B			ZNF746	
																															C9orf3			ATP6V0E2	
																															FIBCD1			RBM33	
																															KIAA1984			GALNTL5	
																															TMEM141			RNF133	
																															C9orf37			THAP5	
																															FGD3			CCDC71L	
																															MVB12B			GIMAP7	
																															WDR34			ZNF467	
																															SAPCD2			ZNF800	
																															C9orf69			GIMAP1	
																															LRSAM1			C7orf33	
																															UAP1L1			PPP1R35	
																															MRRF			GPC2	
																															ARRDC1			LRWD1	
																															DPH7			FBXL13	
																															TMEM203			NAPEPLD	
																															KIF12			ATXN7L1	
																															PALM2			CDHR3	
																															SLC25A25			NYAP1	
																															WDR31			CNPY4	
																															ZNF618			POLR2J2	
																															ZMYND19			UBN2	
																															GRIN3A			MBLAC1	
																															RNF183			TAS2R39	
																															NACC2			TAS2R40	
																															C9orf116			TAS2R41	
																															LCN8			CNPY1	
																															PTRH1			FAM115C	
																															PIP5KL1			ZNF775	
																															PTPDC1			ATG9B	
																															ANKRD19P			LSMEM1	
																															OR13C5			TAS2R60	
																															OR13C8			BLACE	
																															OR13C3			CTAGE6	
																															OR13C4			AGBL3	
																															OR13F1			OR6V1	
																															OR1L8			OR2A12	
																															OR1N2			OR2A1	
																															OR1N1			MOGAT3	
																															SLC34A3			FAM71F2	
																															DAB2IP			STRA8	
																															CAMSAP1			WDR86	
																															C9orf62			DPY19L2P2	
																															C9orf163			GATS	
																															MAMDC4			GSTK1	
																															LCN6			NAT16	
																															AK8			SLC26A5	
																															OR1Q1			RNF148	
																															TTLL11			LAMTOR4	
																															TTC16			FEZF1	
																															FAM120AOS			FAM180A	
																															ZNF483			OR2A25	
																															C9orf84			OR2A5	
																															KIAA1958			PRRT4	
																															TSTD2			RAB19	
																															ZNF782			OR2A7	
																															C9orf96			OR2A42	
																															OLFML2A			C7orf61	
																															QSOX2			UFSP1	
																															ZNF367			MIR182	
																															C9orf91			MIR183	
																															NAIF1			MIR96	
																															ANKS6			SPDYE3	
																															SUSD3			SPDYE2	
																															CDC26			AKR1B15	
																															PHYHD1			CTAGE15	
																															MORN5			OR2A2	
																															OR1L4			LMOD2	
																															TXNDC8			ARHGEF35	
																															C9orf43			GIMAP6	
																															CRB2			WEE2	
																															SCAI			POLR2J3	
																															C9orf117			MIR490	
																															LCN12			ZNF862	
																															C9orf142			ACTR3C	
																															TPRN			TMEM229A	
																															FAM78A			CTAGE4	
																															OR13C9			EFCAB10	
																															OR13D1			UPK3BL	
																															GPR144			CTAGE8	
																															QRFP			RASA4B	
																															OR1J1			SMKR1	
																															OR1B1			ZNF783	
																															MURC			SPDYE2B	
																															GLT6D1			MIR548O	
																															ERCC6L2			MIR548F4	
																															SWI5			MTRNR2L6	
																															C9orf50			TMEM178B	
																															PNPLA7			MIR4468	
																															C9orf169			MIR5707	
																															ENTPD8				
																															IER5L				
																															C9orf171				
																															LCN15				
																															LRRC26				
																															TMEM8C				
																															OR13C2				
																															OR1L6				
																															OR5C1				
																															OR1K1				
																															LCN9				
																															FAM102A				
																															C9orf152				
																															SNX30				
																															WDR38				
																															LCNL1				
																															C9orf139				
																															FAM166A				
																															SOHLH1				
																															ZBTB34				
																															MIRLET7A1				
																															MIRLET7D				
																															MIRLET7F1				
																															MIR147A				
																															MIR181A2				
																															MIR181B2				
																															MIR199B				
																															NUTM2G				
																															C9orf173				
																															NRARP				
																															C9orf129				
																															DNAJC25				
																															MIR600HG				
																															MIR602				
																															RNF208				
																															CARD9				
																															MIR3074				
																															MIR3154				
																															MIR4291				
																															CCDC180				
																															MIR3689A				
																															MIR3911				
																															MIR3927				
																															MIR3689B				
																															MIR3689D1				
																															MIR3689F				
																															MIR3960				
																															MIR4674				
																															MIR4478				
																															MIR3689C				
																															MIR3689D2				
																															MIR4670				
																															MIR3689E				
																															MIR548AW				
