cytoband	16p13.3	4q22.1	20p12.1	6q26	3p14.2	16q23.1	5q12.1	1p33	3q26.31	1p36.11	18q21.2	6p25.3	8p23.2	4q35.1	10q21.1	10q23.31	8p22	15q22.33	18q22.1	7q31.1	19p13.3	17p12	21q11.2	22q13.32	5q22.2	5q21.2	15q21.1	1p13.2	17q24.3	8q11.1	10q25.2	12p13.1	21q21.1	18p11.31	18q12.2	2q22.1	15q11.2	14q11.2	2p12	3p26.3	5q23.3	4p16.1	9p21.3	14q31.1	11q22.3	15q15.2	12q21.33	10p15.3	
																												LPPR4				MIR614					AQR	TRDJ1		SETD5	AFF4	HAUS3	TPD52L3	SNORA46|ENSG00000212371.1	NPAT	C15orf52	PPFIA2		
																												TSPAN2				SLC15A5					ARHGAP11A	TRDD3		TMEM40	SLC27A6	MFSD7	IL33	FKSG61	NRGN	C15orf53	LGR5		
																												BCAS2									RASGRP1	TRDD2		BRK1	SNX24	TMEM175	C9orf123	SAMD15	PAFAH1B2	C15orf54	GALNT4		
																												WARS2									GPR176	TRDD1		RAD18	TMED7	ABLIM2	ADAMTSL1	RN7SL137P	POU2AF1	EIF2AK4	CRADD		
																												CEPT1									FAN1	TRDV2		LRRN1	ISOC1	TMEM128	UHRF2	TMED8	PPP2R1B	CKMT1A	LIN7A		
																												VAV3									GOLGA8A	TRAV41		CIDEC	SAR1B	ZNF518B	C9orf66	SNORA32|ENSG00000201384.1	PTS	SERINC4	SOCS2		
																												LAMTOR5									CYFIP1	TRAV40		ZFYVE20	CDKL3	TMEM129	TTC39B	RN7SL356P	PVRL1	C15orf62	RASSF9		
																												AP4B1									FAM189A1	TRAV39		MTMR14	PRR16	MRFAP1	FAM154A	RN7SKP17	RDX	C15orf56	NUAK1		
																												PHTF1									NPAP1	TRAV36DV7		MRPS25	COMMD10	TADA2B	FREM1	RN7SL747P	SCN2B	PHGR1	NR1H4		
																												AHCYL1									GREM1	TRAV35		CRELD1	RAPGEF6	HTRA3	KIAA2026	TGFB3	SCN4B	ANKRD63	PLXNC1		
																												DDX20									EMC4	TRAV34		TMEM43	PHAX	MRFAP1L1	KCNV2	C14orf1	SDHD	JMJD7	CKAP4		
																												NTNG1									KLF13	TRAV30		HDAC11	ZCCHC10	EVC2	GLIS3	RNA5SP387	ST3GAL4	PLA2G4B	METAP2		
																												WDR47									MTMR10	TRAV29DV5		TSEN2	TRIM36	OTOP1	CCDC171	RNU4ATAC14P	SLN	MIR1282	KERA		
																												CLCC1									ZNF770	TRAV27		C3orf20	FEM1C	JAKMIP1	IFNE	SNORA7|ENSG00000222604.1	SORL1	MIR4510	KRR1		
																												SLC35A3									NOP10	TRAV25		JAGN1	C5orf15	FAM53A	ZDHHC21	ISCA2	SRPR		NUDT4		
																												PTPN22									NDNL2	TRAV24		IL17RC	CDC42SE2	TRMT44	PPAPDC2	MIR4709	TAGLN		UHRF1BP1L		
																												CHIA									EMC7	TRDV1		EAF1	ZNF608	ZBTB49	MIR31	RN7SL530P	TECTA		KIAA1033		
																												GPSM2									AVEN	TRAV23DV6		OXNAD1	SEMA6A	CCDC96	C9orf92	LIN52	UPK2		ZDHHC17		
																												SLC25A24									KATNBL1	TRAV22		FANCD2OS	EPB41L4A	CRIPAK	IZUMO3	ENTPD5	ZBTB16		MGAT4C		
																												SNX7									NIPA2	TRAV21		GALNT15	FBXL17	DOK7	MIR4665	snoU13|ENSG00000238330.1	ZNF202		UTP20		
																												TRIM33									C15orf41	TRAV20		KCNH8	YTHDC2	RNF212		ACOT4	CUL5		MRPL42		
																												GPR88									CHRFAM7A	TRAV19		CHCHD4	GRAMD3	NAT8L		C14orf169	USP2		CCDC59		
																												TRMT13									ARHGAP11B	TRAV18		METTL6	TXNDC15	POLN		RN7SL586P	HTR3B		TRHDE		
																												RSBN1									DPH6	TRAV17		TAMM41	TSSK1B	C4orf48		snoU13|ENSG00000238972.1	ZW10		SYCP3		
																												GDAP2									TUBGCP5	TRAV16		IL17RE	MEGF10	DEFB131		RN7SL683P	UBE4A		CHST11		
																												FAM46C									NIPA1	TRAV14DV4		SGOL1	TSLP	MIR572		SNORD56B	EI24		CCDC53		
																												PALMD									TMCO5A	TRAV10		PP2D1	LYRM7	USP17L24		RN7SL77P	FEZ1		CCDC41		
																												ST7L									OTUD7A	TRAV7		EFHB	SLC25A46	USP17L25		ADAM20P1	RBM7		NT5DC3		
																												PRPF38B									SPRED1	TRAV6		CPNE9	CDKN2AIPNL	USP17L26		SYNJ2BP	MPZL2		PARPBP		
																												PRMT6									PGBD4	TRAV5		FGD5	PRDM6	USP17L5		ADAM21P1	HYOU1		SLC6A15		
																												SLC22A15									FSIP1	TRAV4		CNTN4	FTMT	USP17L27		SNORA11|ENSG00000221060.1	ATP5L		RIC8B		
																												RNPC3									LPCAT4	TRAV3		SUMF1	FNIP1	USP17L28		SLC10A1	TREH		APPL2		
																												LRIF1									NUTM1	TRAV2		RPUSD3	MARCH3	USP17L29		CCDC177|ENSG00000267909.1	CEP164		TMEM19		
																												CTTNBP2NL									GOLGA6L2	RN7SL650P		PRRT3	PRRC1	USP17L30		CCDC177|ENSG00000255994.1	EXPH5		DRAM1		
																												FAM212B									HERC2P3	SNORD8		TPRXL	ZNF474	PSAPL1		ERH	PHLDB1		STAB2		
																												OLFML3									GOLGA6L1	SNORD9		MIR563	STARD4	USP17L10		RN7SL224P	ARHGEF12		VEZT		
																												AMIGO1									GOLGA8G	LINC00641		MIR378B	WDR36	USP17L11		RN7SL108P	SIK3		GOLGA2B		
																												PTBP2									GOLGA8I	RNASE8		MIR3714	SOWAHA	USP17L12		RN7SL706P	VSIG2		SCYL2		
																												HIAT1									FMN1	RN7SL189P		MIR4791	SHROOM1	USP17L13		RN7SL213P	BACE1		POLR3B		
																												RBM15									GOLGA8EP	PNP		MIR4790	C5orf24	USP17L17		U3|ENSG00000252792.1	TRIM29		FGD6		
																												DCLRE1B									OR4M2	RNA5SP382			C5orf20	USP17L18		RN7SL369P	CADM1		NDUFA12		
																												WDR77									C15orf53	RPPH1			CEP120	USP17L19		ATP6V1D	POU2F3		ANKS1B		
																												EPS8L3									C15orf54	SNORD126			SLC25A48	USP17L20		MIR4706	REXO2		CHPT1		
																												VTCN1									HERC2P9	SNORA79|ENSG00000222489.1			SRFBP1	USP17L21		FNTB	OR8B8		TMCC3		
																												SIKE1									GOLGA8B	TTC5			CCDC112	USP17L22		ZBTB25	TIMM8B		NTN4		
																												TRIM45									GOLGA8N	OR11H7			DCP2	MIR548I2		U3|ENSG00000200693.1	OR8B2		ACTR6		
																												VANGL1									POTEB2	RNA5SP381			ADAMTS19	MIR378D1		WDR89	DCPS		TBC1D15		
																												GPR61									MIR4508	RNA5SP380			AQPEP	MIR4800		SCARNA20|ENSG00000252800.1	DDX25		NUP37		
																												PROK1									MIR4510	OR4Q2			CHSY3			RN7SL540P	CDON		GNPTAB		
																												PSRC1									POTEB	snoU13|ENSG00000238492.1			FAM170A			PPP2R5E	SIDT2		ACSS3		
																												STRIP1										MED15P6			CATSPER3			GPHB5	TRAPPC4		BBS10		
																												HENMT1										LINC00516			C5orf48			LINC00644	SPA17		CEP290		
																												OLFM3										MED15P1			C5orf56			LINC00643	FXYD6		MTERFD3		
																												MAB21L3										ANG			CTXN3			SNORD112|ENSG00000252380.1	SIAE		GLT8D2		
																												ATXN7L2										APEX1			CCNI2			SIX1	C11orf71		THAP2		
																												C1orf194										ARHGAP5			TICAM2			U3|ENSG00000253014.1	ROBO4		USP44		
																												LRRC39										BCL2L2			MIR3936			SERPINA3	SLC35F2		SLC41A2		
																												DRAM2										CEBPE			MIR3661			ACTN1	RAB39A		LRRIQ1		
																												PIFO										CFL2			MIR4460			ACYP1	BTG4		METTL25		
																												C1orf162										CMA1			MIR5692C1			AKT1	NXPE4		CAPS2		
																												SYT6										LTB4R						ARG2	TTC12		NAV3		
																												NBPF4										CTSG						BDKRB1	C11orf57		C12orf23		
																												SLC30A7										DAD1						BDKRB2	ELMOD1		C12orf29		
																												CHIAP2										COCH						ZFP36L1	FOXRED1		OSBPL8		
																												FNDC7										FKBP3						CALM1	SCN3B		DEPDC4		
																												SASS6										FOXG1						SERPINA6	VPS11		CCDC38		
																												UBL4B										GZMH						FOXN3	TEX12		TPH2		
																												SPAG17										GZMB						CHGA	CRTAM		NEDD1		
																												HIPK1										FOXA1						CKB	IFT46		IKBIP		
																												AKNAD1										HNRNPC						CRIP1	DSCAML1		SPIC		
																												MAGI3										CTAGE5						CRIP2	GRAMD1B		ANO4		
																												FAM19A3										MMP14						DIO2	ARHGAP20		AMDHD1		
																												FAM102B										MYH6						DIO3	USP28		GLIPR1L2		
																												SYPL2										MYH7						DLST	CARD18		TSPAN19		
																												CYB561D1										NEDD8						DYNC1H1	AASDHPPT		E2F7		
																												PPM1J										NFATC4						EIF2S1	PKNOX2		TMTC2		
																												MYBPHL										NFKBIA						EIF5	MMP27		TMTC3		
																												SLC6A17										NOVA1						EML1	ABCG4		C12orf50		
																												C1orf137										NRL						ESR2	ROBO3		ALDH1L2		
																												FRRS1										OXA1L						ESRRB	C11orf1		ZFC3H1		
																												MIR197										PAX9						FOS	RNF26		FAM71C		
																												NBPF6										PCK2						FUT8	FAM118B		CCER1		
																												MIR320B1										PNN						GALC	DYNC2H1		SLC17A8		
																												MIR137HG										PRKD1						GPX2	NLRX1		TCP11L2		
																																						PSMA6						GSTZ1	MSANTD2		C12orf79		
																																						PSMB5						GTF2A1	CLMP		GLIPR1L1		
																																						PSME1						BRF1	PDZD3		POC1B		
																																						PSME2						HIF1A	C11orf63		OTOGL		
																																						RABGGTA						HSPA2	CCDC15		GAS2L3		
																																						RNASE1						HSP90AA1	PDGFD		C12orf74		
																																						RNASE2						IFI27	TMPRSS5		C12orf42		
																																						RNASE3						ITPK1	PUS3		C12orf75		
																																						RNASE4						JAG2	MFRP		MIR135A2		
																																						RNASE6						KLC1	BCO2		PLEKHG7		
																																						SALL2						LTBP2	TMPRSS13		MIR331		
																																						SRP54						MARK3	DCUN1D5		EID3		
																																						SSTR1						MAX	MSANTD4		ATXN7L3B		
																																						TEP1						ATXN3	BUD13		CLLU1OS		
																																						TGM1						MAP3K9	TMEM25		CLLU1		
																																						GEMIN2						ALDH6A1	RPUSD4		MIR492		
																																						AP1G2						MNAT1	UBASH3B		C12orf73		
																																						SLC7A7						MTHFD1	DIXDC1		MIR1251		
																																						CPNE6						SERPINA5	ZC3H12C		MIR4303		
																																						AKAP6						PGF	ESAM		MIR3685		
																																						KIAA0391						SERPINA1	ALKBH8		MIR4495		
																																						TOX4						SERPINA4	FDXACB1		MIR5700		
																																						REC8						PIGH	C11orf52				
																																						PARP2						PPP2R5C	TIRAP				
																																						DHRS2						PRKCH	CARD16				
																																						EFS						LGMN	C1QTNF5				
																																						IRF9						PSEN1	PANX3				
																																						PRMT5						PSMC1	APOA5				
																																						SEC23A						ABCD4	C11orf93				
																																						TM9SF1						RAD51B	PIH1D2				
																																						EDDM3A						MOK	NXPE1				
																																						DHRS4						SEL1L	NXPE2				
																																						RIPK3						SRSF5	AMICA1				
																																						AP4S1						SLC8A3	KBTBD3				
																																						BAZ1A						SNAPC1	CWF19L2				
																																						SUPT16H						SPTB	KDELC2				
																																						ACIN1						TNFAIP2	LAYN				
																																						FAM179B						TRAF3	PATE1				
																																						SCFD1						TSHR	C11orf65				
																																						KHNYN						VRK1	HYLS1				
																																						SLC7A8						WARS	TMEM218				
																																						HECTD1						XRCC3	OR8B12				
																																						HEATR5A						DPF3	OR10G8				
																																						NGDN						GPR68	OR10G9				
																																						LRP10						TCL1A	OR10S1				
																																						TINF2						NUMB	OR6T1				
																																						OR10G3						ADAM21	OR4D5				
																																						OR10G2						ADAM20	TMEM136				
																																						OR4E2						DLK1	HEPACAM				
																																						CIDEB						DCAF5	ANKK1				
																																						CHMP4A						ALKBH1	RNF214				
																																						STXBP6						EIF2B2	FOXR1				
																																						STRN3						MTA1	CCDC153				
																																						SLC39A2						PNMA1	OR8D1				
																																						EMC9						RPS6KA5	OR8D2				
																																						ZNF219						TRIP11	OR8B4				
																																						GMPR2						AKAP5	CCDC84				
																																						SLC22A17						SPTLC2	TMEM225				
																																						MBIP						BAG5	OR8D4				
																																						KLHL28						C14orf2	C11orf53				
																																						HAUS4						CDC42BPB	BSX				
																																						PPP2R3C						TCL1B	OR6X1				
																																						PRPF39						RGS6	OR6M1				
																																						C14orf119						KIAA0247	OR10G4				
																																						RNF31						AREL1	OR10G7				
																																						RBM23						TECPR2	OR8B3				
																																						MIS18BP1						GOLGA5	OR8A1				
																																						G2E3						MED6	C11orf87				
																																						OSGEP						GPHN	C11orf92				
																																						ARHGEF40						VTI1B	C11orf88				
																																						EAPP						FBLN5	PATE2				
																																						METTL3						BATF	PATE4				
																																						LTB4R2						SIVA1	MIRLET7A2				
																																						SDR39U1						NPC2	MIR100				
																																						RPGRIP1						AHSA1	MIR125B1				
																																						NDRG2						CYP46A1	MIR34B				
																																						NYNRIN						PAPOLA	MIR34C				
																																						HOMEZ						ACOT2	DDI1				
																																						CHD8						TMED10	BLID				
																																						FANCM						PTPN21	CARD17				
																																						CCNB1IP1						VASH1	HEPN1				
																																						SNX6						ZBTB1	CLDN25				
																																						C14orf93						SNW1	PATE3				
																																						ABHD4						PCNX	MIR4301				
																																						NPAS3						TTLL5	CASP12				
																																						EDDM3B						RCOR1	MIR4493				
																																						CDH24						SYNE2	MIR4491				
																																						METTL17						PACS2	MIR4492				
																																						IL25						ANGEL1	MIR4693				
																																						THTPA						PPP1R13B					
																																						OR4K5						DICER1					
																																						OR4K1						ZFYVE26					
																																						IPO4						TTC9					
																																						NUBPL						FLRT2					
																																						DCAF11						PLEKHG3					
																																						OR4K15						SIPA1L1					
																																						FSCB						DCAF4					
																																						BRMS1L						KIF26A					
																																						JPH4						TMEM251					
																																						RNASE7						PLEK2					
																																						INSM2						TCL6					
																																						RAB2B						MLH3					
																																						AJUBA						KCNH5					
																																						ZFHX2						GPR132					
																																						LRRC16B						POMT2					
																																						PPP1R3E						COQ6					
																																						TMEM55B						FCF1					
																																						EGLN3						RDH11					
																																						DTD2						SERPINA10					
																																						DHRS1						COX16					
																																						CMTM5						EVL					
																																						MIA2						GSKIP					
																																						C14orf28						CINP					
																																						TRAPPC6B						ASB2					
																																						RNASE11						SIX4					
																																						TPPP2						ZFYVE1					
																																						MRPL52						CPSF2					
																																						PSMB11						CDCA4					
																																						OR4K14						NRDE2					
																																						OR4L1						ATG2B					
																																						OR11H6						UBR7					
																																						KLHL33						EXD2					
																																						RPL10L						VRTN					
																																						MIPOL1						SLC39A9					
																																						MDP1						FLVCR2					
																																						LRFN5						GPATCH2L					
																																						CLEC14A						SMEK1					
																																						FITM1						BTBD7					
																																						REM2						TDP1					
																																						MDGA2						ZNF839					
																																						NOP9						SPATA7					
																																						SPTSSA						YLPM1					
																																						ADCY4						KCNK13					
																																						RALGAPA1						DDX24					
																																						SFTA3						ADCK1					
																																						TSSK4						TMEM63C					
																																						FAM177A1						RHOJ					
																																						DHRS4L2						GALNT16					
																																						RNASE10						PLEKHH1					
																																						OR6S1						TRMT5					
																																						C14orf23						UNC79					
																																						OR4N2						BEGAIN					
																																						OR4K2						PPP4R4					
																																						OR4K13						ZNF410					
																																						OR4K17						NGB					
																																						OR4N5						RBM25					
																																						OR11G2						VIPAS39					
																																						OR11H4						SMOC1					
																																						RNASE9						MOAP1					
																																						OR5AU1						IRF2BPL					
																																						POTEG						MPP5					
																																						OR11H12						INF2					
																																						RNASE13						BCL11B					
																																						OR4Q3						OTUB2					
																																						OR4M1						ZFYVE21					
																																						RNASE12						WDR25					
																																						POTEM						LINC00341					
																																						TMEM253						ZC2HC1C					
																																						CBLN3						CLMN					
																																						MIR4307						CATSPERB					
																																						MIR548Y						ZC3H14					
																																						MIR4707						RIN3					
																																						LINC00609						C14orf159					
																																												CCDC176					
																																												TMEM121					
																																												SGPP1					
																																												AMN					
																																												SLIRP					
																																												DNAL1					
																																												RPS6KL1					
																																												SYT16					
																																												IFI27L2					
																																												SETD3					
																																												HHIPL1					
																																												C14orf142					
																																												STON2					
																																												KIAA1737					
																																												PAPLN					
																																												FAM181A					
																																												BTBD6					
																																												EFCAB11					
																																												CHURC1					
																																												ELMSAN1					
																																												NEK9					
																																												EXOC3L4					
																																												WDR20					
																																												IFT43					
																																												AHNAK2					
																																												TRMT61A					
																																												TDRD9					
																																												ANKRD9					
																																												AK7					
																																												IFI27L1					
																																												PLD4					
																																												ADSSL1					
																																												NOXRED1					
																																												JDP2					
																																												TTC8					
																																												TC2N					
																																												SLC25A29					
																																												RDH12					
																																												GSC					
																																												SERPINA12					
																																												PRIMA1					
																																												PPP1R36					
																																												SLC38A6					
																																												PTGR2					
																																												FAM161B					
																																												C14orf166B					
																																												ISM2					
																																												CEP128					
																																												TTC7B					
																																												FAM71D					
																																												TMEM229B					
																																												SYNE3					
																																												TMEM30B					
																																												EML5					
																																												NUDT14					
																																												LINC00521					
																																												SERPINA11					
																																												PROX2					
																																												ZDHHC22					
																																												C14orf178					
																																												C14orf177					
																																												SLC25A47					
																																												LINC00523					
																																												CEP170B					
																																												C14orf80					
																																												CCDC85C					
																																												SERPINA9					
																																												VSX2					
																																												COX8C					
																																												ASPG					
																																												RAB15					
																																												SERPINA13P					
																																												C14orf64					
																																												RTL1					
																																												TMEM179					
																																												HEATR4					
																																												PLEKHD1					
																																												C14orf180					
																																												MIR127					
																																												MIR136					
																																												MIR154					
																																												MIR203					
																																												LINC00238					
																																												CCDC88C					
																																												MIR323A					
																																												MIR337					
																																												MIR345					
																																												MIR370					
																																												MIR381					
																																												MIR431					
																																												MIR323B					
																																												MIR409					
																																												MIR412					
																																												MIR410					
																																												MIR493					
																																												MIR432					
																																												MIR494					
																																												MIR495					
																																												MIR496					
																																												MIR487A					
																																												ACOT1					
																																												ACOT6					
																																												SYNDIG1L					
																																												RD3L					
																																												TEX22					
																																												MIR539					
																																												MIR544A					
																																												MIR487B					
																																												MIR411					
																																												MIR625					
																																												MIR654					
																																												MIR655					
																																												MIR656					
																																												MIR758					
																																												MIR770					
																																												MIR300					
																																												MIR541					
																																												MIR665					
																																												MIR543					
																																												MIR889					
																																												DIO3OS					
																																												MIR1260A					
																																												MIR1197					
																																												MIR548H1					
																																												MIR1193					
																																												MIR4309					
																																												MIR3173					
																																												MIR4505					
																																												MIR4708					
																																												MIR151B					
																																												MIR4710					
																																												MIR2392					
																																												MIR5694					
