Gene_symbol	GENEID	EnsembleID	Description	Chromomsome	Position	Start	End	GENE_TYPE	Source
SRSF3	-2181	ENSG00000112081	serine/arginine-rich splicing factor 3 [Source:HGNC Symbol;Acc:10785]	6	6p21.31	36562145	36573377	oncogene	COSMIC
RAB23	-2225	ENSG00000112210	RAB23, member RAS oncogene family [Source:HGNC Symbol;Acc:14263]	6	6p11.2	57053607	57087078	oncogene	TAG
TFEB	7942	ENSG00000112561	transcription factor EB [Source:HGNC Symbol;Acc:11753]	6	6p21.1	41651716	41703997	oncogene	COSMIC
CCND3	896	ENSG00000112576	cyclin D3 [Source:HGNC Symbol;Acc:1585]	6	6p21.1	41902671	42018095	oncogene	COSMIC
GHR	2690	ENSG00000112964	growth hormone receptor [Source:HGNC Symbol;Acc:4263]	5	5p13.1	42423879	42721979	oncogene	CCGD
ITK	3702	ENSG00000113263	IL2-inducible T-cell kinase [Source:HGNC Symbol;Acc:6171]	5	5q33.3	156569944	156682201	oncogene	COSMIC
PRLR	5618	ENSG00000113494	prolactin receptor [Source:HGNC Symbol;Acc:9446]	5	5p13.2	35048861	35230794	oncogene	CCGD
PDGFRB	5159	ENSG00000113721	platelet-derived growth factor receptor, beta polypeptide [Source:HGNC Symbol;Acc:8804]	5	5q32	149493400	149535435	oncogene	COSMIC
BCL6	604	ENSG00000113916	B-cell CLL/lymphoma 6 [Source:HGNC Symbol;Acc:1001]	3	3q27.3	187439165	187463515	oncogene	COSMIC
USP4	7375	ENSG00000114316	ubiquitin specific peptidase 4 (proto-oncogene) [Source:HGNC Symbol;Acc:12627]	3	3p21.31	49315264	49378145	oncogene	uniprot
TFG	10342	ENSG00000114354	TRK-fused gene [Source:HGNC Symbol;Acc:11758]	3	3q12.2	100428205	100467810	oncogene	CANgenes,Bushman Lab,COSMIC
TTL	-859	ENSG00000114999	tubulin tyrosine ligase [Source:HGNC Symbol;Acc:21586]	2	2q13	113239731	113299316	oncogene	COSMIC
ACVR1	90	ENSG00000115170	activin A receptor, type I [Source:HGNC Symbol;Acc:171]	2	2q24.1	158592958	158732374	oncogene	COSMIC
SF3B1	23451	ENSG00000115524	splicing factor 3b, subunit 1, 155kDa [Source:HGNC Symbol;Acc:10768]	2	2q33.1	198254508	198299815	oncogene	COSMIC
STRN	6801	ENSG00000115808	striatin, calmodulin binding protein [Source:HGNC Symbol;Acc:11424]	2	2p22.2	37070783	37193615	oncogene	COSMIC
SOS1	6654	ENSG00000115904	son of sevenless homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:11187]	2	2p22.1	39208537	39351486	oncogene	TAG
ARID3A	-5832	ENSG00000116017	AT rich interactive domain 3A (BRIGHT-like) [Source:HGNC Symbol;Acc:3031]	19	19p13.3	925781	975939	oncogene	TAG
NFE2L2	4780	ENSG00000116044	nuclear factor, erythroid 2-like 2 [Source:HGNC Symbol;Acc:7782]	2	2q31.2	178092323	178257425	oncogene	COSMIC
BCL9	607	ENSG00000116128	B-cell CLL/lymphoma 9 [Source:HGNC Symbol;Acc:1008]	1	1q21.2	147013182	147098017	oncogene	COSMIC
PRRX1	5396	ENSG00000116132	paired related homeobox 1 [Source:HGNC Symbol;Acc:9142]	1	1q24.2	170631869	170708560	oncogene	COSMIC
RPL22	6146	ENSG00000116251	ribosomal protein L22 [Source:HGNC Symbol;Acc:10315]	1	1p36.31	6241329	6269449	oncogene	COSMIC
SFPQ	6421	ENSG00000116560	splicing factor proline/glutamine-rich [Source:HGNC Symbol;Acc:10774]	1	1p34.3	35641979	35658749	oncogene	COSMIC
MYCL1	4610	ENSG00000116990	v-myc avian myelocytomatosis viral oncogene lung carcinoma derived homolog [Source:HGNC Symbol;Acc:7555]	1	1p34.2	40361098	40367928	oncogene	COSMIC,PMID:19292927
AKT3	10000	ENSG00000117020	v-akt murine thymoma viral oncogene homolog 3 [Source:HGNC Symbol;Acc:393]	1	1q43	243651535	244014381	oncogene	TAG
ETV3	2117	ENSG00000117036	ets variant 3 [Source:HGNC Symbol;Acc:3492]	1	1q23.1	157090983	157108266	oncogene	PMID:19292927
MPL	4352	ENSG00000117400	myeloproliferative leukemia virus oncogene [Source:HGNC Symbol;Acc:7217]	1	1p34.2	43803478	43818443	oncogene	COSMIC
TSPAN1	10103	ENSG00000117472	tetraspanin 1 [Source:HGNC Symbol;Acc:20657]	1	1p34.1	46640745	46651630	oncogene	uniprot
KRAS	4297	ENSG00000118058	lysine (K)-specific methyltransferase 2A [Source:HGNC Symbol;Acc:7132]	11	11q23.3	118307205	118397539	oncogene	COSMIC
CREB1	1385	ENSG00000118260	cAMP responsive element binding protein 1 [Source:HGNC Symbol;Acc:2345]	2	2q33.3	208394461	208468155	oncogene	COSMIC
MYB	4602	ENSG00000118513	v-myb avian myeloblastosis viral oncogene homolog [Source:HGNC Symbol;Acc:7545]	6	6q23.3	135502453	135540311	oncogene	CancerQuest
TGIF2	60436	ENSG00000118707	TGFB-induced factor homeobox 2 [Source:HGNC Symbol;Acc:15764]	20	20q11.23	35201891	35222353	oncogene	CCGD
CCND2	894	ENSG00000118971	cyclin D2 [Source:HGNC Symbol;Acc:1583]	12	12p13.32	4382938	4414516	oncogene	Bushman Lab,COSMIC
SET	6418	ENSG00000119335	SET nuclear oncogene [Source:HGNC Symbol;Acc:10760]	9	9q34.11	131445703	131458679	oncogene	COSMIC
PPP6C	5537	ENSG00000119414	protein phosphatase 6, catalytic subunit [Source:HGNC Symbol;Acc:9323]	9	9q33.3	127908852	127952218	oncogene	COSMIC
CSF3R	1441	ENSG00000119535	colony stimulating factor 3 receptor (granulocyte) [Source:HGNC Symbol;Acc:2439]	1	1p34.3	36931644	36948879	oncogene	COSMIC
KDSR	2531	ENSG00000119537	3-ketodihydrosphingosine reductase [Source:HGNC Symbol;Acc:4021]	18	18q21.33	60994959	61034743	oncogene	COSMIC
BCL11A	53335	ENSG00000119866	B-cell CLL/lymphoma 11A (zinc finger protein) [Source:HGNC Symbol;Acc:13221]	2	2p16.1	60678302	60780702	oncogene	CANgenes,COSMIC
GNA13	10672	ENSG00000120063	guanine nucleotide binding protein (G protein), alpha 13 [Source:HGNC Symbol;Acc:4381]	17	17q24.1	63006833	63052957	oncogene	TAG
MNX1	79817	ENSG00000120162	MOB kinase activator 3B [Source:HGNC Symbol;Acc:23825]	9	9p21.2	27325207	27529779	oncogene	COSMIC
CD274	29126	ENSG00000120217	CD274 molecule [Source:HGNC Symbol;Acc:17635]	9	9p24.1	5450503	5470566	oncogene	COSMIC
KCNJ5	-3896	ENSG00000120457	potassium inwardly-rectifying channel, subfamily J, member 5 [Source:HGNC Symbol;Acc:6266]	11	11q24.3	128761251	128790930	oncogene	COSMIC
NKAIN2	4801	ENSG00000120837	nuclear transcription factor Y, beta [Source:HGNC Symbol;Acc:7805]	12	12q23.3	104510855	104532067	oncogene	Bushman Lab
COPS5	10987	ENSG00000121022	COP9 signalosome subunit 5 [Source:HGNC Symbol;Acc:2240]	8	8q13.1	67955314	67996018	oncogene	TAG
CEP89	84902	ENSG00000121289	centrosomal protein 89kDa [Source:HGNC Symbol;Acc:25907]	19	19q13.11	33369902	33462897	oncogene	COSMIC
PIK3CA	-1426	ENSG00000121879	phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit alpha [Source:HGNC Symbol;Acc:8975]	3	3q26.32	178865902	178957881	oncogene	COSMIC
GTDC1	79712	ENSG00000121964	glycosyltransferase-like domain containing 1 [Source:HGNC Symbol;Acc:20887]	2	2q22.3	144695635	145090135	oncogene	CCGD
PTGFR	5737	ENSG00000122420	prostaglandin F receptor (FP) [Source:HGNC Symbol;Acc:9600]	1	1p31.1	78769568	79005434	oncogene	CancerQuest
ZMIZ2	83637	ENSG00000122515	zinc finger, MIZ-type containing 2 [Source:HGNC Symbol;Acc:22229]	7	7p13	44788180	44809477	oncogene	CCGD
HNRNPA2B1	3181	ENSG00000122566	heterogeneous nuclear ribonucleoprotein A2/B1 [Source:HGNC Symbol;Acc:5033]	7	7p15.2	26229547	26241149	oncogene	COSMIC
TWIST1	7291	ENSG00000122691	twist family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:12428]	7	7p21.1	19060614	19157295	oncogene	TAG
KIAA1549	57670	ENSG00000122778	KIAA1549 [Source:HGNC Symbol;Acc:22219]	7	7q34	138516126	138666064	oncogene	COSMIC
PKN1	5585	ENSG00000123143	protein kinase N1 [Source:HGNC Symbol;Acc:9405]	19	19p13.12	14543865	14582679	oncogene	CCGD
HOXC13	3229	ENSG00000123364	homeobox C13 [Source:HGNC Symbol;Acc:5125]	12	12q13.13	54332535	54340328	oncogene	COSMIC
HOXC11	3227	ENSG00000123388	homeobox C11 [Source:HGNC Symbol;Acc:5123]	12	12q13.13	54366910	54371427	oncogene	COSMIC
STIL	6491	ENSG00000123473	SCL/TAL1 interrupting locus [Source:HGNC Symbol;Acc:10879]	1	1p33	47715811	47779819	oncogene	COSMIC
ACSL3	-1044	ENSG00000123983	acyl-CoA synthetase long-chain family member 3 [Source:HGNC Symbol;Acc:3570]	2	2q36.1	223725652	223809357	oncogene	COSMIC
TTPAL	79183	ENSG00000124120	tocopherol (alpha) transfer protein-like [Source:HGNC Symbol;Acc:16114]	20	20q13.12	43104526	43123244	oncogene	CCGD
SDC4	6385	ENSG00000124145	syndecan 4 [Source:HGNC Symbol;Acc:10661]	20	20q13.12	43953928	43977064	oncogene	COSMIC
NCOA3	8202	ENSG00000124151	nuclear receptor coactivator 3 [Source:HGNC Symbol;Acc:7670]	20	20q13.12	46130601	46285621	oncogene	TAG
PLCG1	5335	ENSG00000124181	phospholipase C, gamma 1 [Source:HGNC Symbol;Acc:9065]	20	20q12	39765600	39811629	oncogene	COSMIC
CSE1L	1434	ENSG00000124207	CSE1 chromosome segregation 1-like (yeast) [Source:HGNC Symbol;Acc:2431]	20	20q13.13	47662849	47713489	oncogene	TAG
BCAS4	55653	ENSG00000124243	breast carcinoma amplified sequence 4 [Source:HGNC Symbol;Acc:14367]	20	20q13.13	49411431	49493714	oncogene	uniprot
DEK	7913	ENSG00000124795	DEK oncogene [Source:HGNC Symbol;Acc:2768]	6	6p22.3	18224099	18265054	oncogene	COSMIC
WNT1	-4006	ENSG00000125084	wingless-type MMTV integration site family, member 1 [Source:HGNC Symbol;Acc:12774]	12	12q13.12	49372398	49375459	oncogene	PMID:19292927
PAX8	7849	ENSG00000125618	paired box 8 [Source:HGNC Symbol;Acc:8622]	2	2q13	113973574	114036527	oncogene	COSMIC
MCF2L	23263	ENSG00000126217	MCF.2 cell line derived transforming sequence-like [Source:HGNC Symbol;Acc:14576]	13	13q34	113548692	113754053	oncogene	uniprot
RRAS	6237	ENSG00000126458	related RAS viral (r-ras) oncogene homolog [Source:HGNC Symbol;Acc:10447]	19	19q13.33	50138549	50143458	oncogene	TAG
SBDS	51119	ENSG00000126524	Shwachman-Bodian-Diamond syndrome [Source:HGNC Symbol;Acc:19440]	7	7q11.21	66452664	66460588	oncogene	COSMIC
ZNF384	171017	ENSG00000126746	zinc finger protein 384 [Source:HGNC Symbol;Acc:11955]	12	12p13.31	6775643	6798738	oncogene	COSMIC
SSX1	6756	ENSG00000126752	synovial sarcoma, X breakpoint 1 [Source:HGNC Symbol;Acc:11335]	X	Xp11.23	48114752	48126879	oncogene	COSMIC
NUP214	8021	ENSG00000126883	nucleoporin 214kDa [Source:HGNC Symbol;Acc:8064]	9	9q34.13	134000948	134110057	oncogene	CancerQuest
MAP2K2	5605	ENSG00000126934	mitogen-activated protein kinase kinase 2 [Source:HGNC Symbol;Acc:6842]	19	19p13.3	4090319	4124126	oncogene	COSMIC
OMD	4958	ENSG00000127083	osteomodulin [Source:HGNC Symbol;Acc:8134]	9	9q22.31	95176527	95186743	oncogene	COSMIC
BCL11B	64919	ENSG00000127152	B-cell CLL/lymphoma 11B (zinc finger protein) [Source:HGNC Symbol;Acc:13222]	14	14q32.2	99635624	99737861	oncogene	Bushman Lab,COSMIC
PTPRB	5787	ENSG00000127329	protein tyrosine phosphatase, receptor type, B [Source:HGNC Symbol;Acc:9665]	12	12q15	70910630	71031220	oncogene	COSMIC
AKAP9	10142	ENSG00000127914	A kinase (PRKA) anchor protein 9 [Source:HGNC Symbol;Acc:379]	7	7q21.2	91570181	91739987	oncogene	COSMIC
HIP1	3092	ENSG00000127946	huntingtin interacting protein 1 [Source:HGNC Symbol;Acc:4913]	7	7q11.23	75162621	75368280	oncogene	COSMIC
KDR	3791	ENSG00000128052	kinase insert domain receptor (a type III receptor tyrosine kinase) [Source:HGNC Symbol;Acc:6307]	4	4q12	55944644	55991756	oncogene	COSMIC
SPECC1	92521	ENSG00000128487	sperm antigen with calponin homology and coiled-coil domains 1 [Source:HGNC Symbol;Acc:30615]	17	17p11.2	19912657	20222339	oncogene	COSMIC
DOCK4	9732	ENSG00000128512	dedicator of cytokinesis 4 [Source:HGNC Symbol;Acc:19192]	7	7q31.1	111366166	111846466	oncogene	uniprot
POT1	25913	ENSG00000128513	protection of telomeres 1 [Source:HGNC Symbol;Acc:17284]	7	7q31.33	124462440	124570037	oncogene	COSMIC
CHN1	1123	ENSG00000128656	chimerin 1 [Source:HGNC Symbol;Acc:1943]	2	2q31.1	175664091	175870097	oncogene	COSMIC
HOXD11	-951	ENSG00000128713	homeobox D11 [Source:HGNC Symbol;Acc:5134]	2	2q31.1	176968944	176974722	oncogene	COSMIC
HOXD13	3239	ENSG00000128714	homeobox D13 [Source:HGNC Symbol;Acc:5136]	2	2q31.1	176957619	176960666	oncogene	COSMIC
MYOD1	4654	ENSG00000129152	myogenic differentiation 1 [Source:HGNC Symbol;Acc:7611]	11	11p15.1	17741115	17743678	oncogene	COSMIC
USP6	9098	ENSG00000129204	ubiquitin specific peptidase 6 (Tre-2 oncogene) [Source:HGNC Symbol;Acc:12629]	17	17p13.2	5019733	5078329	oncogene	COSMIC
BCL2L2	599	ENSG00000129473	BCL2-like 2 [Source:HGNC Symbol;Acc:995]	14	14q11.2	23767999	23780968	oncogene	TAG
FGF13	2258	ENSG00000129682	fibroblast growth factor 13 [Source:HGNC Symbol;Acc:3670]	X	Xq26.3	137713735	138304939	oncogene	CCGD
MAS1	4142	ENSG00000130368	MAS1 oncogene [Source:HGNC Symbol;Acc:6899]	6	6q25.3	160327974	160329108	oncogene	PMID:19292927
MLL	-5864	ENSG00000130382	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 1 [Source:HGNC Symbol;Acc:7134]	19	19p13.3	6212966	6279959	oncogene	COSMIC
JUND	3727	ENSG00000130522	jun D proto-oncogene [Source:HGNC Symbol;Acc:6206]	19	19p13.11	18390563	18392432	oncogene	Bushman Lab
PAK4	10298	ENSG00000130669	p21 protein (Cdc42/Rac)-activated kinase 4 [Source:HGNC Symbol;Acc:16059]	19	19q13.2	39616410	39673456	oncogene	CCGD
MLLT6	3110	ENSG00000130675	motor neuron and pancreas homeobox 1 [Source:HGNC Symbol;Acc:4979]	7	7q36.3	156786745	156803345	oncogene	COSMIC
CLIP1	6249	ENSG00000130779	CAP-GLY domain containing linker protein 1 [Source:HGNC Symbol;Acc:10461]	12	12q24.31	122755979	122907179	oncogene	COSMIC
ZNF331	55422	ENSG00000130844	zinc finger protein 331 [Source:HGNC Symbol;Acc:15489]	19	19q13.42	54024235	54083523	oncogene	COSMIC
RARA	-5535	ENSG00000131759	retinoic acid receptor, alpha [Source:HGNC Symbol;Acc:9864]	17	17q21.2	38465444	38513094	oncogene	COSMIC
CHD1L	9557	ENSG00000131778	chromodomain helicase DNA binding protein 1-like [Source:HGNC Symbol;Acc:1916]	1	1q21.1	146714291	146767443	oncogene	TAG
SERPINF1	5176	ENSG00000132386	serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1 [Source:HGNC Symbol;Acc:8824]	17	17p13.3	1665253	1680868	oncogene	CCGD
H3F3B	3021	ENSG00000132475	H3 histone, family 3B (H3.3B) [Source:HGNC Symbol;Acc:4765]	17	17q25.1	73772515	73781974	oncogene	COSMIC
ATP1A4	480	ENSG00000132681	ATPase, Na+/K+ transporting, alpha 4 polypeptide [Source:HGNC Symbol;Acc:14073]	1	1q23.2	160121360	160156767	oncogene	COSMIC
MLLT4	25974	ENSG00000132763	methylmalonic aciduria (cobalamin deficiency) cblC type, with homocystinuria [Source:HGNC Symbol;Acc:24525]	1	1p34.1	45965725	45976739	oncogene	COSMIC
SERINC3	10955	ENSG00000132824	serine incorporator 3 [Source:HGNC Symbol;Acc:11699]	20	20q13.12	43124862	43150750	oncogene	CCGD
PRAM1	84106	ENSG00000133246	PML-RARA regulated adaptor molecule 1 [Source:HGNC Symbol;Acc:30091]	19	19p13.2	8554940	8567996	oncogene	TAG
MYH11	4629	ENSG00000133392	myosin, heavy chain 11, smooth muscle [Source:HGNC Symbol;Acc:7569]	16	16p13.11	15797029	15950890	oncogene	COSMIC
BTG1	-4095	ENSG00000133639	B-cell translocation gene 1, anti-proliferative [Source:HGNC Symbol;Acc:1130]	12	12q21.33	92536286	92539673	oncogene	COSMIC
LAF4	3845	ENSG00000133703	Kirsten rat sarcoma viral oncogene homolog [Source:HGNC Symbol;Acc:6407]	12	12p12.1	25357723	25403870	oncogene	TAG
RRAS2	22800	ENSG00000133818	related RAS viral (r-ras) oncogene homolog 2 [Source:HGNC Symbol;Acc:17271]	11	11p15.2	14299472	14386052	oncogene	uniprot
VAV3	10451	ENSG00000134215	vav 3 guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:12659]	1	1p13.3	108113782	108507766	oncogene	TAG
IL6ST	3572	ENSG00000134352	interleukin 6 signal transducer (gp130, oncostatin M receptor) [Source:HGNC Symbol;Acc:6021]	5	5q11.2	55230923	55290821	oncogene	COSMIC
PDGFRA	5156	ENSG00000134853	platelet-derived growth factor receptor, alpha polypeptide [Source:HGNC Symbol;Acc:8803]	4	4q12	55095264	55164414	oncogene	COSMIC
ERCC5	2073	ENSG00000134899	excision repair cross-complementing rodent repair deficiency, complementation group 5 [Source:HGNC Symbol;Acc:3437]	13	13q33.1	103497194	103528345	oncogene	COSMIC
ADAM19	8728	ENSG00000135074	ADAM metallopeptidase domain 19 [Source:HGNC Symbol;Acc:197]	5	5q33.3	156822542	157002783	oncogene	CCGD
TBX3	6926	ENSG00000135111	T-box 3 [Source:HGNC Symbol;Acc:11602]	12	12q24.21	115108059	115121969	oncogene	COSMIC
LMO2	4005	ENSG00000135363	LIM domain only 2 (rhombotin-like 1) [Source:HGNC Symbol;Acc:6642]	11	11p13	33880122	33913836	oncogene	COSMIC
CAPRIN1	4076	ENSG00000135387	cell cycle associated protein 1 [Source:HGNC Symbol;Acc:6743]	11	11p13	34073230	34122703	oncogene	CCGD
CDK4	1019	ENSG00000135446	cyclin-dependent kinase 4 [Source:HGNC Symbol;Acc:1773]	12	12q14.1	58141510	58149796	oncogene	COSMIC
AHI1	54806	ENSG00000135541	Abelson helper integration site 1 [Source:HGNC Symbol;Acc:21575]	6	6q23.3	135604670	135818914	oncogene	TAG
MDM2	4193	ENSG00000135679	MDM2 oncogene, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:6973]	12	12q15	69201956	69239214	oncogene	COSMIC
PAX3	5077	ENSG00000135903	paired box 3 [Source:HGNC Symbol;Acc:8617]	2	2q36.1	223064607	223163715	oncogene	COSMIC
RAC1	5879	ENSG00000136238	ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1) [Source:HGNC Symbol;Acc:9801]	7	7p22.1	6414154	6443608	oncogene	COSMIC
XPA	7507	ENSG00000136936	xeroderma pigmentosum, complementation group A [Source:HGNC Symbol;Acc:12814]	9	9q22.33	100437191	100459639	oncogene	COSMIC
FOXP4	116113	ENSG00000137166	forkhead box P4 [Source:HGNC Symbol;Acc:20842]	6	6p21.1	41514164	41570122	oncogene	CCGD
HMGA1	3159	ENSG00000137309	high mobility group AT-hook 1 [Source:HGNC Symbol;Acc:5010]	6	6p21.31	34204650	34214008	oncogene	COSMIC
NUMA1	4926	ENSG00000137497	nuclear mitotic apparatus protein 1 [Source:HGNC Symbol;Acc:8059]	11	11q13.4	71713910	71791739	oncogene	COSMIC
SEMA6D	80031	ENSG00000137872	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D [Source:HGNC Symbol;Acc:16770]	15	15q21.1	47476298	48066420	oncogene	CCGD
HADHB	3032	ENSG00000138029	hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), beta subunit [Source:HGNC Symbol;Acc:4803]	2	2p23.3	26466038	26513336	oncogene	CCGD
CEP55	55165	ENSG00000138180	centrosomal protein 55kDa [Source:HGNC Symbol;Acc:1161]	10	10q23.33	95256389	95288849	oncogene	TAG
TET1	80312	ENSG00000138336	tet methylcytosine dioxygenase 1 [Source:HGNC Symbol;Acc:29484]	10	10q21.3	70320413	70454239	oncogene	COSMIC
ATIC	471	ENSG00000138363	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase [Source:HGNC Symbol;Acc:794]	2	2q35	216176540	216214487	oncogene	COSMIC
SEC31A	22872	ENSG00000138674	SEC31 homolog A (S. cerevisiae) [Source:HGNC Symbol;Acc:17052]	4	4q21.22	83739814	83822319	oncogene	uniprot
FGF5	2250	ENSG00000138675	fibroblast growth factor 5 [Source:HGNC Symbol;Acc:3683]	4	4q21.21	81187753	81257834	oncogene	uniprot
RAP1GDS1	5910	ENSG00000138698	RAP1, GTP-GDP dissociation stimulator 1 [Source:HGNC Symbol;Acc:9859]	4	4q23	99182535	99365012	oncogene	COSMIC
ETNK1	55500	ENSG00000139163	ethanolamine kinase 1 [Source:HGNC Symbol;Acc:24649]	12	12p12.1	22778009	22843599	oncogene	COSMIC
COL2A1	1280	ENSG00000139219	collagen, type II, alpha 1 [Source:HGNC Symbol;Acc:2200]	12	12q13.11	48366748	48398269	oncogene	COSMIC
NCOA2	10499	ENSG00000140396	nuclear receptor coactivator 2 [Source:HGNC Symbol;Acc:7669]	8	8q13.3	71021997	71316040	oncogene	CCGD
CRTC3	64784	ENSG00000140577	CREB regulated transcription coactivator 3 [Source:HGNC Symbol;Acc:26148]	15	15q26.1	91073157	91188577	oncogene	COSMIC
NONO	8996	ENSG00000140939	nucleolar protein 3 (apoptosis repressor with CARD domain) [Source:HGNC Symbol;Acc:7869]	16	16q22.1	67204057	67209643	oncogene	COSMIC
BCAS3	54828	ENSG00000141376	breast carcinoma amplified sequence 3 [Source:HGNC Symbol;Acc:14347]	17	17q23.2	58754814	59470199	oncogene	uniprot
ELAC1	55520	ENSG00000141642	elaC ribonuclease Z 1 [Source:HGNC Symbol;Acc:14197]	18	18q21.2	48494361	48514491	oncogene	CCGD
ERBB2	2064	ENSG00000141736	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2 [Source:HGNC Symbol;Acc:3430]	17	17q12	37844167	37886679	oncogene	COSMIC
MIEN1	84299	ENSG00000141741	migration and invasion enhancer 1 [Source:HGNC Symbol;Acc:28230]	17	17q12	37884749	37887040	oncogene	TAG
VAV1	7409	ENSG00000141968	vav 1 guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:12657]	19	19p13.3	6772725	6857377	oncogene	PMID:19292927
SH3GL1	6455	ENSG00000141985	SH3-domain GRB2-like 1 [Source:HGNC Symbol;Acc:10830]	19	19p13.3	4360367	4400544	oncogene	COSMIC
AKT1	207	ENSG00000142208	v-akt murine thymoma viral oncogene homolog 1 [Source:HGNC Symbol;Acc:391]	14	14q32.33	105235686	105262088	oncogene	COSMIC,uniprot
CBLC	23624	ENSG00000142273	Cbl proto-oncogene C, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:15961]	19	19q13.32	45281126	45303891	oncogene	COSMIC
PRDM16	63976	ENSG00000142611	PR domain containing 16 [Source:HGNC Symbol;Acc:14000]	1	1p36.32	2985732	3355185	oncogene	COSMIC
SDHC	-403	ENSG00000143252	succinate dehydrogenase complex, subunit C, integral membrane protein, 15kDa [Source:HGNC Symbol;Acc:10682]	1	1q23.3	161284047	161332984	oncogene	COSMIC
PRCC	5546	ENSG00000143294	papillary renal cell carcinoma (translocation-associated) [Source:HGNC Symbol;Acc:9343]	1	1q23.1	156720402	156770607	oncogene	COSMIC
ABL2	27	ENSG00000143322	c-abl oncogene 2, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:77]	1	1q25.2	179068462	179198819	oncogene	COSMIC,CancerQuest
TPM3	7170	ENSG00000143549	tropomyosin 3 [Source:HGNC Symbol;Acc:12012]	1	1q21.3	154127784	154167124	oncogene	COSMIC
MEIS1	4211	ENSG00000143995	Meis homeobox 1 [Source:HGNC Symbol;Acc:7000]	2	2p14	66660584	66801001	oncogene	TAG
RALB	5899	ENSG00000144118	v-ral simian leukemia viral oncogene homolog B [Source:HGNC Symbol;Acc:9840]	2	2q14.2	120997640	121052289	oncogene	PMID:19292927
AFF3	3899	ENSG00000144218	AF4/FMR2 family, member 3 [Source:HGNC Symbol;Acc:6473]	2	2q11.2	100162323	100759201	oncogene	COSMIC
ACKR3	57007	ENSG00000144476	atypical chemokine receptor 3 [Source:HGNC Symbol;Acc:23692]	2	2q37.3	237476430	237491001	oncogene	COSMIC
LPP	4026	ENSG00000145012	LIM domain containing preferred translocation partner in lipoma [Source:HGNC Symbol;Acc:6679]	3	3q27.3	187871072	188608460	oncogene	COSMIC
FIP1L1	81608	ENSG00000145216	factor interacting with PAPOLA and CPSF1 [Source:HGNC Symbol;Acc:19124]	4	4q12	54243810	55161439	oncogene	COSMIC
CCNA2	890	ENSG00000145386	cyclin A2 [Source:HGNC Symbol;Acc:1578]	4	4q27	122737599	122745087	oncogene	TAG
ARHGAP26	23092	ENSG00000145819	Rho GTPase activating protein 26 [Source:HGNC Symbol;Acc:17073]	5	5q31.3	142149949	142608576	oncogene	COSMIC,uniprot
NFKBIE	4794	ENSG00000146232	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon [Source:HGNC Symbol;Acc:7799]	6	6p21.1	44225903	44233500	oncogene	COSMIC
RSPO3	-2313	ENSG00000146374	R-spondin 3 [Source:HGNC Symbol;Acc:20866]	6	6q22.33	127439749	127518910	oncogene	COSMIC
GNA12	2768	ENSG00000146535	guanine nucleotide binding protein (G protein) alpha 12 [Source:HGNC Symbol;Acc:4380]	7	7p22.3	2767746	2883958	oncogene	TAG
EGFR	1956	ENSG00000146648	epidermal growth factor receptor [Source:HGNC Symbol;Acc:3236]	7	7p11.2	55086714	55324313	oncogene	CancerQuest
MSN	4478	ENSG00000147065	moesin [Source:HGNC Symbol;Acc:7373]	X	Xq12	64808257	64961791	oncogene	COSMIC
NOP2	4841	ENSG00000147140	non-POU domain containing, octamer-binding [Source:HGNC Symbol;Acc:7871]	X	Xq13.1	70503042	70521018	oncogene	CCGD
RSPO2	340419	ENSG00000147655	R-spondin 2 [Source:HGNC Symbol;Acc:28583]	8	8q23.1	108911544	109095913	oncogene	CCGD
FAM83A	84985	ENSG00000147689	family with sequence similarity 83, member A [Source:HGNC Symbol;Acc:28210]	8	8q24.13	124191200	124222314	oncogene	uniprot
NR6A1	2649	ENSG00000148200	nuclear receptor subfamily 6, group A, member 1 [Source:HGNC Symbol;Acc:7985]	9	9q33.3	127279554	127533589	oncogene	CCGD
LCN2	3934	ENSG00000148346	lipocalin 2 [Source:HGNC Symbol;Acc:6526]	9	9q34.11	130911350	130915734	oncogene	TAG
ORAOV1	220064	ENSG00000149716	oral cancer overexpressed 1 [Source:HGNC Symbol;Acc:17589]	11	11q13.3	69467844	69490184	oncogene	TAG
