Gene_symbol	GENEID	EnsembleID	Description	Chromomsome	Position	Start	End	GENE_TYPE	Source
CSRNP1	64651	ENSG00000144655	cysteine-serine-rich nuclear protein 1 [Source:HGNC Symbol;Acc:14300]	3	3p22.2	39183346	39196053	TSG	TSGene
CST5	1473	ENSG00000170367	cystatin D [Source:HGNC Symbol;Acc:2477]	20	20p11.21	23856572	23860387	TSG	TSGene
CST6	1474	ENSG00000175315	cystatin E/M [Source:HGNC Symbol;Acc:2478]	11	11q13.1	65779312	65780976	TSG	TSGene
CTCF	10664	ENSG00000102974	CCCTC-binding factor (zinc finger protein) [Source:HGNC Symbol;Acc:13723]	16	16q22.1	67596310	67673086	TSG	TSGene
CTCFL	140690	ENSG00000124092	CCCTC-binding factor (zinc finger protein)-like [Source:HGNC Symbol;Acc:16234]	20	20q13.31	56071035	56100708	TSG	TSGene
CTDSPL	10217	ENSG00000144677	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like [Source:HGNC Symbol;Acc:16890]	3	3p22.2	37903451	38025960	TSG	TSGene
CTGF	1490	ENSG00000118523	connective tissue growth factor [Source:HGNC Symbol;Acc:2500]	6	6q23.2	132269316	132272513	TSG	TSGene
CTNNA2	1496	ENSG00000066032	catenin (cadherin-associated protein), alpha 2 [Source:HGNC Symbol;Acc:2510]	2	2p12	79412357	80875905	TSG	TSGene
CTNNA3	29119	ENSG00000183230	catenin (cadherin-associated protein), alpha 3 [Source:HGNC Symbol;Acc:2511]	10	10q21.3	67672276	69455927	TSG	TSGene
CTNNBIP1	56998	ENSG00000178585	catenin, beta interacting protein 1 [Source:HGNC Symbol;Acc:16913]	1	1p36.22	9908334	9970394	TSG	TSGene
CTNND1	1500	ENSG00000198561	catenin (cadherin-associated protein), delta 1 [Source:HGNC Symbol;Acc:2515]	11	11q12.1	57520715	57587018	TSG	TSGene
CUL1	8454	ENSG00000055130	cullin 1 [Source:HGNC Symbol;Acc:2551]	7	7q36.1	148395006	148498128	TSG	TSGene
CUL2	8453	ENSG00000108094	cullin 2 [Source:HGNC Symbol;Acc:2552]	10	10p11.21	35297479	35379570	TSG	TSGene
CUL5	8065	ENSG00000166266	cullin 5 [Source:HGNC Symbol;Acc:2556]	11	11q22.3	107879459	107978503	TSG	TSGene
CUX1	1523	ENSG00000257923	cut-like homeobox 1 [Source:HGNC Symbol;Acc:2557]	7	7q22.1	101458959	101927249	TSG	TSGene
CXCL10	3627	ENSG00000169245	chemokine (C-X-C motif) ligand 10 [Source:HGNC Symbol;Acc:10637]	4	4q21.1	76942273	76944650	TSG	TSGene
CXCL12	6387	ENSG00000107562	chemokine (C-X-C motif) ligand 12 [Source:HGNC Symbol;Acc:10672]	10	10q11.21	44793038	44881941	TSG	TSGene
CXCL14	9547	ENSG00000145824	chemokine (C-X-C motif) ligand 14 [Source:HGNC Symbol;Acc:10640]	5	5q31.1	134906373	134914969	TSG	TSGene
CXCR2	3579	ENSG00000180871	chemokine (C-X-C motif) receptor 2 [Source:HGNC Symbol;Acc:6027]	2	2q35	218990012	219001976	TSG	TSGene
CXXC4	80319	ENSG00000168772	CXXC finger protein 4 [Source:HGNC Symbol;Acc:24593]	4	4q24	105389469	105416058	TSG	TSGene
CXXC5	51523	ENSG00000171604	CXXC finger protein 5 [Source:HGNC Symbol;Acc:26943]	5	5q31.2	139026884	139063467	TSG	TSGene
CYB561D2	11068	ENSG00000114395	cytochrome b561 family, member D2 [Source:HGNC Symbol;Acc:30253]	3	3p21.31	50388126	50395891	TSG	TSGene
CYB5A	1528	ENSG00000166347	cytochrome b5 type A (microsomal) [Source:HGNC Symbol;Acc:2570]	18	18q22.3	71920530	71959251	TSG	TSGene
CYB5R2	51700	ENSG00000166394	cytochrome b5 reductase 2 [Source:HGNC Symbol;Acc:24376]	11	11p15.4	7686331	7698453	TSG	TSGene
CYGB	114757	ENSG00000161544	cytoglobin [Source:HGNC Symbol;Acc:16505]	17	17q25.1	74523438	74547257	TSG	TSGene
CYLD	1540	ENSG00000083799	cylindromatosis (turban tumor syndrome) [Source:HGNC Symbol;Acc:2584]	16	16q12.1	50775961	50835846	TSG	TSGene
DAB2	1601	ENSG00000153071	Dab, mitogen-responsive phosphoprotein, homolog 2 (Drosophila) [Source:HGNC Symbol;Acc:2662]	5	5p13.1	39371780	39462402	TSG	TSGene
DAB2IP	153090	ENSG00000136848	DAB2 interacting protein [Source:HGNC Symbol;Acc:17294]	9	9q33.2	124329336	124547809	TSG	TSGene
DACH1	1602	ENSG00000165659	dachshund homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:2663]	13	13q21.33	72012098	72441330	TSG	TSGene
DACT1	51339	ENSG00000165617	dishevelled-binding antagonist of beta-catenin 1 [Source:HGNC Symbol;Acc:17748]	14	14q23.1	59100685	59115039	TSG	TSGene
DAPK1	1612	ENSG00000196730	death-associated protein kinase 1 [Source:HGNC Symbol;Acc:2674]	9	9q21.33	90112143	90323548	TSG	TSGene
DAPK2	23604	ENSG00000035664	death-associated protein kinase 2 [Source:HGNC Symbol;Acc:2675]	15	15q22.31	64199235	64364232	TSG	TSGene
DAPK3	1613	ENSG00000167657	death-associated protein kinase 3 [Source:HGNC Symbol;Acc:2676]	19	19p13.3	3958451	3971121	TSG	TSGene
DCC	-5796	ENSG00000187323	deleted in colorectal carcinoma [Source:HGNC Symbol;Acc:2701]	18	18q21.2	49866542	51057784	TSG	TSGene
DCDC2	51473	ENSG00000146038	doublecortin domain containing 2 [Source:HGNC Symbol;Acc:18141]	6	6p22.3	24171984	24358280	TSG	TSGene
DCLRE1A	9937	ENSG00000198924	DNA cross-link repair 1A [Source:HGNC Symbol;Acc:17660]	10	10q25.3	115594488	115614142	TSG	TSGene
DCN	1634	ENSG00000011465	decorin [Source:HGNC Symbol;Acc:2705]	12	12q21.33	91539025	91576900	TSG	TSGene
DCUN1D3	-5150	ENSG00000188215	DCN1, defective in cullin neddylation 1, domain containing 3 [Source:HGNC Symbol;Acc:28734]	16	16p12.3	20866247	20911706	TSG	TSGene
DDB2	1643	ENSG00000134574	damage-specific DNA binding protein 2, 48kDa [Source:HGNC Symbol;Acc:2718]	11	11p11.2	47236493	47260767	TSG	TSGene
DDR2	4921	ENSG00000162733	discoidin domain receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:2731]	1	1q23.3	162601163	162757190	TSG	TSGene
DDX3X	1654	ENSG00000215301	DEAD (Asp-Glu-Ala-Asp) box helicase 3, X-linked [Source:HGNC Symbol;Acc:2745]	X	Xp11.4	41192651	41223725	TSG	TSGene
DDX58	23586	ENSG00000107201	DEAD (Asp-Glu-Ala-Asp) box polypeptide 58 [Source:HGNC Symbol;Acc:19102]	9	9p21.1	32455300	32526322	TSG	TSGene
DEFB1	1672	ENSG00000164825	defensin, beta 1 [Source:HGNC Symbol;Acc:2766]	8	8p23.1	6728097	6735544	TSG	TSGene
DENND2D	-300	ENSG00000162777	DENN/MADD domain containing 2D [Source:HGNC Symbol;Acc:26192]	1	1p13.3	111729796	111747157	TSG	TSGene
DFFA	-29	ENSG00000160049	DNA fragmentation factor, 45kDa, alpha polypeptide [Source:HGNC Symbol;Acc:2772]	1	1p36.22	10516579	10532583	TSG	TSGene
DFNA5	1687	ENSG00000105928	deafness, autosomal dominant 5 [Source:HGNC Symbol;Acc:2810]	7	7p15.3	24737972	24809244	TSG	TSGene
DIABLO	56616	ENSG00000184047	diablo, IAP-binding mitochondrial protein [Source:HGNC Symbol;Acc:21528]	12	12q24.31	122692210	122712081	TSG	TSGene
DICER1	23405	ENSG00000100697	dicer 1, ribonuclease type III [Source:HGNC Symbol;Acc:17098]	14	14q32.13	95552565	95624347	TSG	TSGene
DIDO1	11083	ENSG00000101191	death inducer-obliterator 1 [Source:HGNC Symbol;Acc:2680]	20	20q13.33	61509090	61569304	TSG	TSGene
DIRAS1	148252	ENSG00000176490	DIRAS family, GTP-binding RAS-like 1 [Source:HGNC Symbol;Acc:19127]	19	19p13.3	2714565	2721416	TSG	TSGene
DIRAS3	9077	ENSG00000162595	DIRAS family, GTP-binding RAS-like 3 [Source:HGNC Symbol;Acc:687]	1	1p31.3	68511645	68517314	TSG	TSGene
DKK1	22943	ENSG00000107984	dickkopf WNT signaling pathway inhibitor 1 [Source:HGNC Symbol;Acc:2891]	10	10q21.1	54074056	54077802	TSG	TSGene
DKK3	27122	ENSG00000050165	dickkopf WNT signaling pathway inhibitor 3 [Source:HGNC Symbol;Acc:2893]	11	11p15.3	11984653	12031316	TSG	TSGene
DLC1	10395	ENSG00000164741	deleted in liver cancer 1 [Source:HGNC Symbol;Acc:2897]	8	8p22	12940870	13373167	TSG	TSGene
DLEC1	9940	ENSG00000008226	deleted in lung and esophageal cancer 1 [Source:HGNC Symbol;Acc:2899]	3	3p22.2	38080696	38165516	TSG	TSGene
DLEU1	10301	ENSG00000176124	deleted in lymphocytic leukemia 1 (non-protein coding) [Source:HGNC Symbol;Acc:13747]	13	13q14.2	50656307	51297372	TSG	TSGene
DLEU2	406948	ENSG00000231607	deleted in lymphocytic leukemia 2 (non-protein coding) [Source:HGNC Symbol;Acc:13748]	13	13q14.2	50601269	50699856	TSG	TSGene
DLG1	1739	ENSG00000075711	discs, large homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:2900]	3	3q29	196769431	197026171	TSG	TSGene
DLK1	8788	ENSG00000185559	delta-like 1 homolog (Drosophila) [Source:HGNC Symbol;Acc:2907]	14	14q32.2	101192042	101201539	TSG	TSGene
DMBT1	1755	ENSG00000187908	deleted in malignant brain tumors 1 [Source:HGNC Symbol;Acc:2926]	10	10q26.13	124320181	124403252	TSG	TSGene
DMD	1756	ENSG00000198947	dystrophin [Source:HGNC Symbol;Acc:2928]	X	Xp21.2	31115794	33357558	TSG	TSGene
DMTF1	9988	ENSG00000135164	cyclin D binding myb-like transcription factor 1 [Source:HGNC Symbol;Acc:14603]	7	7q21.12	86781677	86825653	TSG	TSGene
DNAJA3	9093	ENSG00000103423	DnaJ (Hsp40) homolog, subfamily A, member 3 [Source:HGNC Symbol;Acc:11808]	16	16p13.3	4475806	4506776	TSG	TSGene
DNAJB1	3337	ENSG00000132002	DnaJ (Hsp40) homolog, subfamily B, member 1 [Source:HGNC Symbol;Acc:5270]	19	19p13.12	14625582	14640582	TSG	TSGene
DNAJB4	-238	ENSG00000162616	DnaJ (Hsp40) homolog, subfamily B, member 4 [Source:HGNC Symbol;Acc:14886]	1	1p31.1	78444859	78483648	TSG	TSGene
DNAJC11	55735	ENSG00000007923	DnaJ (Hsp40) homolog, subfamily C, member 11 [Source:HGNC Symbol;Acc:25570]	1	1p36.31	6694228	6761984	TSG	TSGene
DND1	373863	ENSG00000256453	DND microRNA-mediated repression inhibitor 1 [Source:HGNC Symbol;Acc:23799]	5	5q31.3	140050379	140053171	TSG	TSGene
DNMT1	1786	ENSG00000130816	DNA (cytosine-5-)-methyltransferase 1 [Source:HGNC Symbol;Acc:2976]	19	19p13.2	10244021	10341962	TSG	TSGene
DNMT3A	1788	ENSG00000119772	DNA (cytosine-5-)-methyltransferase 3 alpha [Source:HGNC Symbol;Acc:2978]	2	2p23.3	25455845	25565459	TSG	TSGene
DNMT3B	1789	ENSG00000088305	DNA (cytosine-5-)-methyltransferase 3 beta [Source:HGNC Symbol;Acc:2979]	20	20q11.21	31350191	31397162	TSG	TSGene
DOK1	1796	ENSG00000115325	docking protein 1, 62kDa (downstream of tyrosine kinase 1) [Source:HGNC Symbol;Acc:2990]	2	2p13.1	74776153	74784681	TSG	TSGene
DOK2	9046	ENSG00000147443	docking protein 2, 56kDa [Source:HGNC Symbol;Acc:2991]	8	8p21.3	21766384	21771371	TSG	TSGene
DOK3	79930	ENSG00000146094	docking protein 3 [Source:HGNC Symbol;Acc:24583]	5	5q35.3	176928908	176938275	TSG	TSGene
DPH1	1801	ENSG00000108963	diphthamide biosynthesis 1 [Source:HGNC Symbol;Acc:3003]	17	17p13.3	1933404	1946724	TSG	TSGene
DPP4	1803	ENSG00000197635	dipeptidyl-peptidase 4 [Source:HGNC Symbol;Acc:3009]	2	2q24.2	162848751	162931052	TSG	TSGene
DSC3	1825	ENSG00000134762	desmocollin 3 [Source:HGNC Symbol;Acc:3037]	18	18q12.1	28569974	28622781	TSG	TSGene
DSP	1832	ENSG00000096696	desmoplakin [Source:HGNC Symbol;Acc:3052]	6	6p24.3	7541808	7586950	TSG	TSGene
DUSP1	1843	ENSG00000120129	dual specificity phosphatase 1 [Source:HGNC Symbol;Acc:3064]	5	5q35.1	172195093	172198198	TSG	TSGene
DUSP22	56940	ENSG00000112679	dual specificity phosphatase 22 [Source:HGNC Symbol;Acc:16077]	6	6p25.3	291630	351355	TSG	TSGene
DUSP26	78986	ENSG00000133878	dual specificity phosphatase 26 (putative) [Source:HGNC Symbol;Acc:28161]	8	8p12	33448856	33457624	TSG	TSGene
DUSP5	1847	ENSG00000138166	dual specificity phosphatase 5 [Source:HGNC Symbol;Acc:3071]	10	10q25.2	112257596	112271302	TSG	TSGene
DUSP6	1848	ENSG00000139318	dual specificity phosphatase 6 [Source:HGNC Symbol;Acc:3072]	12	12q21.33	89741009	89747048	TSG	TSGene
DUSP9	1852	ENSG00000130829	dual specificity phosphatase 9 [Source:HGNC Symbol;Acc:3076]	X	Xq28	152907946	152916781	TSG	TSGene
E2F1	1869	ENSG00000101412	E2F transcription factor 1 [Source:HGNC Symbol;Acc:3113]	20	20q11.22	32263489	32274210	TSG	TSGene
E2F2	1870	ENSG00000007968	E2F transcription factor 2 [Source:HGNC Symbol;Acc:3114]	1	1p36.12	23832922	23857712	TSG	TSGene
E2F3	1871	ENSG00000112242	E2F transcription factor 3 [Source:HGNC Symbol;Acc:3115]	6	6p22.3	20402398	20493941	TSG	TSGene
EAF1	85403	ENSG00000144597	ELL associated factor 1 [Source:HGNC Symbol;Acc:20907]	3	3p25.1	15468862	15484120	TSG	TSGene
EAF2	55840	ENSG00000145088	ELL associated factor 2 [Source:HGNC Symbol;Acc:23115]	3	3q13.33	121554030	121605373	TSG	TSGene
EBF3	253738	ENSG00000108001	early B-cell factor 3 [Source:HGNC Symbol;Acc:19087]	10	10q26.3	131633547	131762105	TSG	TSGene
ECT2	1894	ENSG00000114346	epithelial cell transforming sequence 2 oncogene [Source:HGNC Symbol;Acc:3155]	3	3q26.31	172468472	172539264	TSG	TSGene
EDA2R	60401	ENSG00000131080	ectodysplasin A2 receptor [Source:HGNC Symbol;Acc:17756]	X	Xq12	65815479	65859108	TSG	TSGene
EDNRB	1910	ENSG00000136160	endothelin receptor type B [Source:HGNC Symbol;Acc:3180]	13	13q22.3	78469616	78493903	TSG	TSGene
EED	8726	ENSG00000074266	embryonic ectoderm development [Source:HGNC Symbol;Acc:3188]	11	11q14.2	85955586	85989855	TSG	TSGene
EEF1A1	1915	ENSG00000156508	eukaryotic translation elongation factor 1 alpha 1 [Source:HGNC Symbol;Acc:3189]	6	6q13	74225473	74233520	TSG	TSGene
EEF1E1	9521	ENSG00000124802	eukaryotic translation elongation factor 1 epsilon 1 [Source:HGNC Symbol;Acc:3212]	6	6p24.3	8073593	8102811	TSG	TSGene
EFNA5	1946	ENSG00000184349	ephrin-A5 [Source:HGNC Symbol;Acc:3225]	5	5q21.3	106712590	107006596	TSG	TSGene
EGLN1	54583	ENSG00000135766	egl-9 family hypoxia-inducible factor 1 [Source:HGNC Symbol;Acc:1232]	1	1q42.2	231499497	231560790	TSG	TSGene
EGLN3	112399	ENSG00000129521	egl-9 family hypoxia-inducible factor 3 [Source:HGNC Symbol;Acc:14661]	14	14q13.1	34393437	34931980	TSG	TSGene
EGR1	1958	ENSG00000120738	early growth response 1 [Source:HGNC Symbol;Acc:3238]	5	5q31.2	137801179	137805004	TSG	TSGene
EGR2	1959	ENSG00000122877	early growth response 2 [Source:HGNC Symbol;Acc:3239]	10	10q21.3	64571756	64679660	TSG	TSGene
EHD3	-688	ENSG00000013016	EH-domain containing 3 [Source:HGNC Symbol;Acc:3244]	2	2p23.1	31456880	31492313	TSG	TSGene
EHF	-3662	ENSG00000135373	ets homologous factor [Source:HGNC Symbol;Acc:3246]	11	11p13	34642640	34682604	TSG	TSGene
EI24	9538	ENSG00000149547	etoposide induced 2.4 [Source:HGNC Symbol;Acc:13276]	11	11q24.2	125439112	125454575	TSG	TSGene
EIF3F	8665	ENSG00000175390	eukaryotic translation initiation factor 3, subunit F [Source:HGNC Symbol;Acc:3275]	11	11p15.4	7991798	8023409	TSG	TSGene
EMP1	2012	ENSG00000134531	epithelial membrane protein 1 [Source:HGNC Symbol;Acc:3333]	12	12p13.1	13349650	13369708	TSG	TSGene
EMP2	2013	ENSG00000213853	epithelial membrane protein 2 [Source:HGNC Symbol;Acc:3334]	16	16p13.13	10622279	10674555	TSG	TSGene
EPB41	2035	ENSG00000159023	erythrocyte membrane protein band 4.1 (elliptocytosis 1, RH-linked) [Source:HGNC Symbol;Acc:3377]	1	1p35.3	29213603	29446553	TSG	TSGene
EPB41L3	23136	ENSG00000082397	erythrocyte membrane protein band 4.1-like 3 [Source:HGNC Symbol;Acc:3380]	18	18p11.31	5392383	5630699	TSG	TSGene
EPHA1	2041	ENSG00000146904	EPH receptor A1 [Source:HGNC Symbol;Acc:3385]	7	7q34	143087382	143105985	TSG	TSGene
EPHA2	1969	ENSG00000142627	EPH receptor A2 [Source:HGNC Symbol;Acc:3386]	1	1p36.13	16450832	16482582	TSG	TSGene
EPHA3	2042	ENSG00000044524	EPH receptor A3 [Source:HGNC Symbol;Acc:3387]	3	3p11.1	89156674	89531284	TSG	TSGene
EPHB2	2048	ENSG00000133216	EPH receptor B2 [Source:HGNC Symbol;Acc:3393]	1	1p36.12	23037332	23241818	TSG	TSGene
EPHB3	2049	ENSG00000182580	EPH receptor B3 [Source:HGNC Symbol;Acc:3394]	3	3q27.1	184279572	184300197	TSG	TSGene
EPHB4	2050	ENSG00000196411	EPH receptor B4 [Source:HGNC Symbol;Acc:3395]	7	7q22.1	100400187	100425121	TSG	TSGene
EPHB6	2051	ENSG00000106123	EPH receptor B6 [Source:HGNC Symbol;Acc:3396]	7	7q34	142552792	142568847	TSG	TSGene
ERBB4	2066	ENSG00000178568	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4 [Source:HGNC Symbol;Acc:3432]	2	2q34	212240446	213403565	TSG	TSGene
ERF	2077	ENSG00000105722	Ets2 repressor factor [Source:HGNC Symbol;Acc:3444]	19	19q13.2	42751724	42759309	TSG	TSGene
ERRFI1	54206	ENSG00000116285	ERBB receptor feedback inhibitor 1 [Source:HGNC Symbol;Acc:18185]	1	1p36.23	8064464	8086368	TSG	TSGene
ESR1	2099	ENSG00000091831	estrogen receptor 1 [Source:HGNC Symbol;Acc:3467]	6	6q25.1	151977826	152450754	TSG	TSGene
ESR2	2100	ENSG00000140009	estrogen receptor 2 (ER beta) [Source:HGNC Symbol;Acc:3468]	14	14q23.2	64550950	64804830	TSG	TSGene
ESRP1	54845	ENSG00000104413	epithelial splicing regulatory protein 1 [Source:HGNC Symbol;Acc:25966]	8	8q22.1	95653302	95719694	TSG	TSGene
ESRRB	2103	ENSG00000119715	estrogen-related receptor beta [Source:HGNC Symbol;Acc:3473]	14	14q24.3	76776957	76968178	TSG	TSGene
ETS2	2114	ENSG00000157557	v-ets avian erythroblastosis virus E26 oncogene homolog 2 [Source:HGNC Symbol;Acc:3489]	21	21q22.2	40177231	40196879	TSG	TSGene
ETV6	2120	ENSG00000139083	ets variant 6 [Source:HGNC Symbol;Acc:3495]	12	12p13.2	11802788	12048336	TSG	TSGene
EXT1	-2941	ENSG00000182197	exostosin glycosyltransferase 1 [Source:HGNC Symbol;Acc:3512]	8	8q24.11	118806729	119124092	TSG	TSGene
EXT2	2132	ENSG00000151348	exostosin glycosyltransferase 2 [Source:HGNC Symbol;Acc:3513]	11	11p11.2	44117099	44266979	TSG	TSGene
EXTL1	2134	ENSG00000158008	exostosin-like glycosyltransferase 1 [Source:HGNC Symbol;Acc:3515]	1	1p36.11	26346375	26362955	TSG	TSGene
EXTL2	2135	ENSG00000162694	exostosin-like glycosyltransferase 2 [Source:HGNC Symbol;Acc:3516]	1	1p21.2	101337943	101361554	TSG	TSGene
EXTL3	2137	ENSG00000012232	exostosin-like glycosyltransferase 3 [Source:HGNC Symbol;Acc:3518]	8	8p21.1	28457986	28613116	TSG	TSGene
EYA4	2070	ENSG00000112319	eyes absent homolog 4 (Drosophila) [Source:HGNC Symbol;Acc:3522]	6	6q23.2	133561736	133853258	TSG	TSGene
EZH1	2145	ENSG00000108799	enhancer of zeste homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:3526]	17	17q21.2	40852293	40897071	TSG	TSGene
EZH2	2146	ENSG00000106462	enhancer of zeste homolog 2 (Drosophila) [Source:HGNC Symbol;Acc:3527]	7	7q36.1	148504475	148581413	TSG	TSGene
FABP3	-122	ENSG00000121769	fatty acid binding protein 3, muscle and heart (mammary-derived growth inhibitor) [Source:HGNC Symbol;Acc:3557]	1	1p35.2	31838472	31849697	TSG	TSGene
FADD	8772	ENSG00000168040	Fas (TNFRSF6)-associated via death domain [Source:HGNC Symbol;Acc:3573]	11	11q13.3	70049269	70053496	TSG	TSGene
FAM172A	83989	ENSG00000113391	family with sequence similarity 172, member A [Source:HGNC Symbol;Acc:25365]	5	5q15	92953775	93447404	TSG	TSGene
FAM188A	80013	ENSG00000148481	family with sequence similarity 188, member A [Source:HGNC Symbol;Acc:23578]	10	10p13	15820169	15902519	TSG	TSGene
FANCG	2189	ENSG00000221829	Fanconi anemia, complementation group G [Source:HGNC Symbol;Acc:3588]	9	9p13.3	35073832	35080013	TSG	TSGene
FAS	355	ENSG00000026103	Fas cell surface death receptor [Source:HGNC Symbol;Acc:11920]	10	10q23.31	90750414	90775542	TSG	TSGene
FAT1	2195	ENSG00000083857	FAT atypical cadherin 1 [Source:HGNC Symbol;Acc:3595]	4	4q35.2	187508937	187647876	TSG	TSGene
FAT4	79633	ENSG00000196159	FAT atypical cadherin 4 [Source:HGNC Symbol;Acc:23109]	4	4q28.1	126237554	126414087	TSG	TSGene
FBLN1	2192	ENSG00000077942	fibulin 1 [Source:HGNC Symbol;Acc:3600]	22	22q13.31	45898118	45997015	TSG	TSGene
FBP1	2203	ENSG00000165140	fructose-1,6-bisphosphatase 1 [Source:HGNC Symbol;Acc:3606]	9	9q22.32	97365415	97402531	TSG	TSGene
FBXL13	222235	ENSG00000161040	F-box and leucine-rich repeat protein 13 [Source:HGNC Symbol;Acc:21658]	7	7q22.1	102453308	102715286	TSG	TSGene
FBXO25	26260	ENSG00000147364	F-box protein 25 [Source:HGNC Symbol;Acc:13596]	8	8p23.3	356428	421225	TSG	TSGene
FBXO31	-5340	ENSG00000103264	F-box protein 31 [Source:HGNC Symbol;Acc:16510]	16	16q24.2	87360593	87425748	TSG	TSGene
FBXO32	114907	ENSG00000156804	F-box protein 32 [Source:HGNC Symbol;Acc:16731]	8	8q24.13	124510129	124553446	TSG	TSGene
FBXW7	55294	ENSG00000109670	F-box and WD repeat domain containing 7, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:16712]	4	4q31.3	153242410	153457253	TSG	TSGene
FER1L4	-6204	ENSG00000088340	fer-1-like 4 (C. elegans), pseudogene [Source:HGNC Symbol;Acc:15801]	20	20q11.22	34146507	34195484	TSG	TSGene
FH	2271	ENSG00000091483	fumarate hydratase [Source:HGNC Symbol;Acc:3700]	1	1q43	241660903	241683061	TSG	TSGene
FHIT	2272	ENSG00000189283	fragile histidine triad [Source:HGNC Symbol;Acc:3701]	3	3p14.2	59735036	61237133	TSG	TSGene
FHL1	2273	ENSG00000022267	four and a half LIM domains 1 [Source:HGNC Symbol;Acc:3702]	X	Xq26.3	135229559	135293518	TSG	TSGene
FLCN	201163	ENSG00000154803	folliculin [Source:HGNC Symbol;Acc:27310]	17	17p11.2	17115526	17140502	TSG	TSGene
FLNA	2316	ENSG00000196924	filamin A, alpha [Source:HGNC Symbol;Acc:3754]	X	Xq28	153576892	153603006	TSG	TSGene
FLT3	2322	ENSG00000122025	fms-related tyrosine kinase 3 [Source:HGNC Symbol;Acc:3765]	13	13q12.2	28577411	28674729	TSG	TSGene
FOXA1	3169	ENSG00000129514	forkhead box A1 [Source:HGNC Symbol;Acc:5021]	14	14q21.1	38059189	38069245	TSG	TSGene
FOXA2	3170	ENSG00000125798	forkhead box A2 [Source:HGNC Symbol;Acc:5022]	20	20p11.21	22561643	22566093	TSG	TSGene
FOXC1	2296	ENSG00000054598	forkhead box C1 [Source:HGNC Symbol;Acc:3800]	6	6p25.3	1610681	1614127	TSG	TSGene
FOXD3	27022	ENSG00000187140	forkhead box D3 [Source:HGNC Symbol;Acc:3804]	1	1p31.3	63788730	63790797	TSG	TSGene
FOXL2	668	ENSG00000183770	forkhead box L2 [Source:HGNC Symbol;Acc:1092]	3	3q22.3	138663066	138665982	TSG	TSGene
FOXO1	2308	ENSG00000150907	forkhead box O1 [Source:HGNC Symbol;Acc:3819]	13	13q14.11	41129804	41240734	TSG	TSGene
FOXO3	2309	ENSG00000118689	forkhead box O3 [Source:HGNC Symbol;Acc:3821]	6	6q21	108881038	109005977	TSG	TSGene
FOXO4	4303	ENSG00000184481	forkhead box O4 [Source:HGNC Symbol;Acc:7139]	X	Xq13.1	70316047	70323385	TSG	TSGene
FOXO6	100132074	ENSG00000204060	forkhead box O6 [Source:HGNC Symbol;Acc:24814]	1	1p34.2	41827594	41849262	TSG	TSGene
FOXP1	27086	ENSG00000114861	forkhead box P1 [Source:HGNC Symbol;Acc:3823]	3	3p13	71003844	71633140	TSG	TSGene
FOXP3	50943	ENSG00000049768	forkhead box P3 [Source:HGNC Symbol;Acc:6106]	X	Xp11.23	49106897	49121288	TSG	TSGene
FRK	-2298	ENSG00000111816	fyn-related kinase [Source:HGNC Symbol;Acc:3955]	6	6q22.1	116252312	116381921	TSG	TSGene
FRS3	10817	ENSG00000137218	fibroblast growth factor receptor substrate 3 [Source:HGNC Symbol;Acc:16970]	6	6p21.1	41737914	41754280	TSG	TSGene
FXN	2395	ENSG00000165060	frataxin [Source:HGNC Symbol;Acc:3951]	9	9q21.11	71650175	71715094	TSG	TSGene
FZR1	-5848	ENSG00000105325	fizzy/cell division cycle 20 related 1 (Drosophila) [Source:HGNC Symbol;Acc:24824]	19	19p13.3	3506271	3538328	TSG	TSGene
G0S2	50486	ENSG00000123689	G0/G1switch 2 [Source:HGNC Symbol;Acc:30229]	1	1q32.2	209848765	209849733	TSG	TSGene
GABARAP	-5384	ENSG00000170296	GABA(A) receptor-associated protein [Source:HGNC Symbol;Acc:4067]	17	17p13.1	7143333	7146089	TSG	TSGene
GADD45A	1647	ENSG00000116717	growth arrest and DNA-damage-inducible, alpha [Source:HGNC Symbol;Acc:4095]	1	1p31.3	68150744	68154021	TSG	TSGene
GADD45B	4616	ENSG00000099860	growth arrest and DNA-damage-inducible, beta [Source:HGNC Symbol;Acc:4096]	19	19p13.3	2476120	2478257	TSG	TSGene
GADD45G	10912	ENSG00000130222	growth arrest and DNA-damage-inducible, gamma [Source:HGNC Symbol;Acc:4097]	9	9q22.2	92219928	92221470	TSG	TSGene
GADD45GIP1	90480	ENSG00000179271	growth arrest and DNA-damage-inducible, gamma interacting protein 1 [Source:HGNC Symbol;Acc:29996]	19	19p13.2	13064972	13068050	TSG	TSGene
GALR1	-5820	ENSG00000166573	galanin receptor 1 [Source:HGNC Symbol;Acc:4132]	18	18q23	74962505	74980858	TSG	TSGene
GANAB	23193	ENSG00000089597	glucosidase, alpha; neutral AB [Source:HGNC Symbol;Acc:4138]	11	11q12.3	62392298	62414104	TSG	TSGene
